
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    79.33
512                    96.91
1024                  136.35
2048                  219.51
4096                  492.02
8192                 1315.53
16384                4376.34
32768                8812.55
65536               17779.31
131072              34252.44
262144              69421.00
524288             126796.78
1048576            232077.67
2097152            445993.13

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    79.09
512                    96.78
1024                  136.18
2048                  218.55
4096                  474.04
8192                 1308.39
16384                4361.12
32768                8944.10
65536               17605.26
131072              34263.25
262144              69283.61
524288             127054.96
1048576            232704.84
2097152            445827.97

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    80.61
512                    97.08
1024                  136.40
2048                  219.57
4096                  477.95
8192                 1304.40
16384                4346.45
32768                8918.21
65536               17725.15
131072              34197.25
262144              69286.24
524288             126801.07
1048576            232792.96
2097152            445393.19

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    79.54
512                    96.77
1024                  136.31
2048                  219.30
4096                  485.86
8192                 1308.67
16384                4569.33
32768                8931.50
65536               17661.32
131072              34180.70
262144              69322.14
524288             126461.64
1048576            232575.56
2097152            445104.87

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    79.06
512                    96.77
1024                  136.22
2048                  218.94
4096                  481.32
8192                 1306.86
16384                4371.14
32768                8831.94
65536               17633.60
131072              34178.72
262144              69535.03
524288             126303.48
1048576            232479.01
2097152            445234.61
