
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       8.83
2                       8.44
4                       9.28
8                      10.38
16                     11.45
32                     10.66
64                     12.58
128                    15.73
256                    21.51
512                    30.91
1024                   56.79
2048                  109.27
4096                  227.12
8192                  438.12
16384                1597.07
32768                2563.43
65536                4285.40
131072               8482.80
262144              16303.08
524288              33365.02
1048576             68937.16
2097152            139973.52

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       8.73
2                       8.42
4                       9.27
8                      10.44
16                     11.56
32                     10.26
64                     12.19
128                    15.56
256                    21.44
512                    30.82
1024                   56.68
2048                  109.55
4096                  226.58
8192                  423.62
16384                1581.43
32768                2547.66
65536                4285.74
131072               8399.01
262144              16293.79
524288              33296.39
1048576             68909.35
2097152            139887.20

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       8.85
2                       8.28
4                       9.31
8                      10.40
16                     11.48
32                     10.57
64                     12.41
128                    15.57
256                    22.10
512                    30.80
1024                   56.51
2048                  109.28
4096                  225.29
8192                  414.17
16384                1578.00
32768                2470.86
65536                4285.64
131072               8458.40
262144              16284.38
524288              33309.06
1048576             68932.56
2097152            139912.30

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       8.77
2                       8.27
4                       9.38
8                      10.38
16                     11.46
32                     10.51
64                     12.19
128                    15.53
256                    21.39
512                    30.90
1024                   56.64
2048                  109.40
4096                  228.11
8192                  413.12
16384                1613.41
32768                2525.53
65536                4293.52
131072               8390.25
262144              16268.53
524288              33304.86
1048576             68865.09
2097152            139806.49

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       8.63
2                       8.27
4                       9.61
8                      10.36
16                     11.43
32                     10.01
64                     11.94
128                    15.39
256                    21.41
512                    30.75
1024                   56.66
2048                  109.26
4096                  229.47
8192                  415.03
16384                1610.02
32768                2448.47
65536                4281.96
131072               8487.28
262144              16281.98
524288              33240.84
1048576             68987.59
2097152            139849.78

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       8.89
2                       8.22
4                       9.28
8                      10.40
16                     11.49
32                     10.41
64                     12.32
128                    15.69
256                    21.45
512                    30.85
1024                   57.04
2048                  109.11
4096                  225.76
8192                  415.07
16384                1567.19
32768                2467.59
65536                4279.59
131072               8450.37
262144              16264.69
524288              33325.61
1048576             68852.00
2097152            139870.79

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       8.90
2                       8.24
4                       9.32
8                      10.37
16                     11.44
32                     10.37
64                     12.16
128                    15.48
256                    21.39
512                    30.66
1024                   56.55
2048                  109.11
4096                  225.24
8192                  413.88
16384                1608.52
32768                2572.60
65536                4286.04
131072               8436.65
262144              16300.34
524288              33315.24
1048576             68970.67
2097152            139984.73

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       8.85
2                       8.28
4                       9.34
8                      10.40
16                     12.28
32                     10.49
64                     12.32
128                    15.63
256                    21.48
512                    30.92
1024                   56.49
2048                  109.29
4096                  226.50
8192                  420.07
16384                1596.05
32768                2528.19
65536                4286.33
131072               8418.42
262144              16242.86
524288              33318.64
1048576             68860.83
2097152            139850.53

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       8.68
2                       8.29
4                       9.28
8                      10.36
16                     11.44
32                     10.69
64                     12.56
128                    15.65
256                    21.43
512                    30.75
1024                   56.44
2048                  108.95
4096                  225.84
8192                  413.20
16384                1588.61
32768                2458.64
65536                4293.78
131072               8396.32
262144              16312.10
524288              33324.74
1048576             68930.31
2097152            139754.24

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       8.78
2                       8.28
4                       9.32
8                      10.37
16                     11.46
32                     10.18
64                     12.07
128                    15.50
256                    21.59
512                    30.77
1024                   56.84
2048                  109.24
4096                  226.58
8192                  411.19
16384                1588.41
32768                2457.99
65536                4280.78
131072               8413.57
262144              16318.30
524288              33243.05
1048576             68837.20
2097152            139612.12
