
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.89
2                      13.81
4                      14.32
8                      15.81
16                     17.30
32                     18.90
64                     22.14
128                    28.03
256                    45.63
512                    72.49
1024                  129.09
2048                  345.64
4096                  492.53
8192                  974.19
16384                1924.00
32768                3324.53
65536                6367.43
131072              12550.66
262144              24963.35
524288              49938.73
1048576             99864.89
2097152            199788.46

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.89
2                      13.79
4                      14.34
8                      15.75
16                     17.30
32                     18.96
64                     22.17
128                    27.95
256                    45.62
512                    72.43
1024                  128.81
2048                  343.04
4096                  492.86
8192                  981.24
16384                1917.10
32768                3316.63
65536                6361.65
131072              12566.96
262144              24957.66
524288              49941.24
1048576             99863.66
2097152            199797.18

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.89
2                      13.75
4                      14.28
8                      15.66
16                     17.24
32                     18.84
64                     22.12
128                    27.98
256                    45.74
512                    72.51
1024                  128.96
2048                  344.15
4096                  490.28
8192                  965.74
16384                1915.96
32768                3311.57
65536                6357.89
131072              12569.71
262144              24980.49
524288              49955.29
1048576             99878.68
2097152            199801.55

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.90
2                      13.75
4                      14.28
8                      15.67
16                     17.26
32                     18.89
64                     22.16
128                    28.00
256                    45.66
512                    72.57
1024                  128.78
2048                  345.44
4096                  492.59
8192                 1001.58
16384                1915.15
32768                3301.70
65536                6408.41
131072              12569.09
262144              24966.44
524288              49944.29
1048576             99882.77
2097152            199798.35

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.95
2                      13.80
4                      14.30
8                      15.76
16                     17.29
32                     18.89
64                     22.10
128                    27.96
256                    45.65
512                    72.53
1024                  128.77
2048                  343.36
4096                  492.41
8192                  960.46
16384                1914.57
32768                3315.13
65536                6348.06
131072              12551.92
262144              24977.50
524288              49952.24
1048576             99890.67
2097152            199796.02

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.97
2                      13.80
4                      14.35
8                      15.72
16                     17.31
32                     18.88
64                     22.12
128                    27.97
256                    45.69
512                    72.43
1024                  129.10
2048                  342.89
4096                  493.83
8192                  978.88
16384                1916.08
32768                3305.93
65536                6354.96
131072              12552.90
262144              24965.63
524288              49934.38
1048576             99861.56
2097152            199784.90

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.89
2                      13.77
4                      14.27
8                      15.70
16                     17.33
32                     18.87
64                     22.14
128                    27.97
256                    45.81
512                    72.51
1024                  128.72
2048                  343.49
4096                  488.61
8192                  967.20
16384                1913.06
32768                3290.76
65536                6365.39
131072              12557.46
262144              24962.84
524288              49954.40
1048576             99891.52
2097152            199795.78

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.93
2                      13.76
4                      14.37
8                      15.68
16                     17.25
32                     18.86
64                     22.10
128                    27.99
256                    45.59
512                    72.41
1024                  129.05
2048                  343.42
4096                  491.70
8192                  979.89
16384                1913.73
32768                3308.03
65536                6360.84
131072              12545.29
262144              24957.40
524288              49926.97
1048576             99877.19
2097152            199786.12

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.98
2                      13.78
4                      14.32
8                      15.80
16                     17.35
32                     18.93
64                     22.12
128                    28.03
256                    45.73
512                    72.55
1024                  128.82
2048                  343.72
4096                  493.81
8192                  974.43
16384                1916.18
32768                3299.38
65536                6350.92
131072              12558.03
262144              24972.50
524288              49953.14
1048576             99888.31
2097152            199804.35

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.89
2                      13.72
4                      14.27
8                      15.76
16                     17.29
32                     18.83
64                     22.09
128                    28.08
256                    45.64
512                    72.47
1024                  128.85
2048                  343.97
4096                  494.58
8192                  988.10
16384                1917.50
32768                3310.92
65536                6376.88
131072              12534.89
262144              24964.32
524288              49938.90
1048576             99875.16
2097152            199809.89
