
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.91
2                      13.85
4                      14.38
8                      15.75
16                     17.34
32                     18.89
64                     22.20
128                    28.05
256                    42.78
512                    66.90
1024                  120.52
2048                  343.41
4096                  494.79
8192                  973.20
16384                1751.28
32768                3204.60
65536                6294.61
131072              12513.17
262144              24977.46
524288              49953.96
1048576             99910.03
2097152            199861.65

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.96
2                      13.99
4                      14.44
8                      15.81
16                     17.34
32                     19.02
64                     22.31
128                    28.13
256                    42.83
512                    67.04
1024                  120.31
2048                  343.93
4096                  491.07
8192                  980.23
16384                1747.24
32768                3200.87
65536                6295.19
131072              12508.35
262144              24974.55
524288              49948.43
1048576             99887.05
2097152            199820.40

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.05
2                      13.84
4                      14.40
8                      15.78
16                     17.32
32                     18.92
64                     22.20
128                    28.09
256                    42.74
512                    66.98
1024                  120.37
2048                  344.27
4096                  491.49
8192                  968.13
16384                1743.03
32768                3199.54
65536                6294.12
131072              12506.12
262144              24987.33
524288              49957.28
1048576             99898.05
2097152            199837.50

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.04
2                      13.83
4                      14.38
8                      15.75
16                     17.34
32                     18.91
64                     22.16
128                    28.06
256                    42.68
512                    67.05
1024                  120.29
2048                  343.96
4096                  493.41
8192                  986.63
16384                1751.03
32768                3197.11
65536                6294.21
131072              12506.78
262144              24959.86
524288              49945.82
1048576             99895.90
2097152            199845.97

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.95
2                      13.83
4                      14.37
8                      15.77
16                     17.36
32                     18.93
64                     22.18
128                    28.12
256                    42.79
512                    67.00
1024                  120.44
2048                  343.85
4096                  496.40
8192                  967.87
16384                1747.74
32768                3197.95
65536                6294.67
131072              12511.91
262144              24967.94
524288              49950.96
1048576             99895.21
2097152            199848.13

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.96
2                      13.83
4                      14.38
8                      15.76
16                     17.36
32                     18.98
64                     22.24
128                    28.15
256                    42.75
512                    66.93
1024                  120.47
2048                  344.37
4096                  489.62
8192                  965.99
16384                1744.40
32768                3197.55
65536                6295.39
131072              12506.83
262144              24973.12
524288              49947.14
1048576             99882.16
2097152            199816.61

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.05
2                      13.86
4                      14.39
8                      15.80
16                     17.39
32                     18.95
64                     22.19
128                    28.09
256                    42.84
512                    66.95
1024                  120.49
2048                  345.37
4096                  500.34
8192                  987.65
16384                1743.70
32768                3198.12
65536                6289.51
131072              12524.07
262144              24963.71
524288              49954.18
1048576             99891.15
2097152            199830.15

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.97
2                      13.95
4                      14.48
8                      15.83
16                     17.35
32                     18.97
64                     22.21
128                    28.07
256                    42.83
512                    66.89
1024                  120.68
2048                  344.19
4096                  491.93
8192                  986.51
16384                1751.58
32768                3203.02
65536                6289.52
131072              12512.71
262144              24964.24
524288              49957.59
1048576             99895.31
2097152            199844.02

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.98
2                      13.82
4                      14.38
8                      15.76
16                     17.35
32                     18.97
64                     22.22
128                    28.11
256                    42.76
512                    66.97
1024                  120.44
2048                  343.38
4096                  497.69
8192                  972.44
16384                1748.10
32768                3198.44
65536                6292.54
131072              12515.91
262144              24952.90
524288              49939.33
1048576             99873.22
2097152            199807.44

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.01
2                      13.89
4                      14.37
8                      15.73
16                     17.32
32                     18.93
64                     22.16
128                    28.07
256                    42.82
512                    66.98
1024                  120.39
2048                  343.83
4096                  487.86
8192                  974.42
16384                1748.68
32768                3198.19
65536                6292.36
131072              12501.24
262144              24966.91
524288              49942.72
1048576             99879.18
2097152            199823.41
