
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     125.17
2                     125.16
4                     126.42
8                     129.63
16                    124.78
32                     20.12
64                     21.67
128                    25.35
256                    30.93
512                    40.54
1024                   67.00
2048                  149.92
4096                  469.12
8192                  717.91
16384                2491.43
32768                3607.31
65536                4753.76
131072               9164.27
262144              18485.92
524288              37268.93
1048576             75316.28
2097152            153700.37

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     125.09
2                     125.19
4                     126.45
8                     129.53
16                    124.74
32                     19.44
64                     21.16
128                    24.73
256                    30.34
512                    40.25
1024                   66.98
2048                  143.68
4096                  467.57
8192                  715.11
16384                2547.44
32768                3519.88
65536                4750.85
131072               9212.54
262144              18402.38
524288              37278.53
1048576             75357.55
2097152            154081.44

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     125.25
2                     125.19
4                     126.46
8                     129.62
16                    124.83
32                     19.36
64                     21.07
128                    24.72
256                    30.55
512                    40.39
1024                   67.19
2048                  146.61
4096                  470.97
8192                  715.96
16384                2407.80
32768                3567.40
65536                4749.01
131072               9156.71
262144              18433.02
524288              37212.50
1048576             75303.66
2097152            154273.47

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     125.13
2                     125.20
4                     126.45
8                     129.70
16                    124.78
32                     20.64
64                     22.04
128                    25.84
256                    30.79
512                    40.44
1024                   67.18
2048                  148.77
4096                  468.61
8192                  717.46
16384                2448.31
32768                3609.51
65536                4758.98
131072               9100.25
262144              18398.68
524288              36987.44
1048576             75258.04
2097152            153552.45

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     125.17
2                     125.21
4                     126.50
8                     129.66
16                    124.75
32                     20.12
64                     21.62
128                    25.34
256                    30.60
512                    40.92
1024                   67.15
2048                  149.71
4096                  467.60
8192                  714.68
16384                2498.78
32768                3613.61
65536                4745.14
131072               9117.05
262144              18468.64
524288              37283.34
1048576             75401.74
2097152            154379.02

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     125.16
2                     125.21
4                     126.48
8                     129.80
16                    124.80
32                     19.37
64                     21.35
128                    24.71
256                    30.35
512                    40.37
1024                   66.97
2048                  148.00
4096                  471.34
8192                  717.59
16384                2460.00
32768                3596.98
65536                4747.55
131072               9165.87
262144              18420.97
524288              37213.89
1048576             75302.91
2097152            153719.12

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     125.06
2                     125.16
4                     126.40
8                     129.61
16                    124.77
32                     19.32
64                     21.05
128                    24.70
256                    30.38
512                    40.23
1024                   67.00
2048                  147.94
4096                  468.02
8192                  715.99
16384                2444.21
32768                3582.99
65536                4748.59
131072               9102.96
262144              18504.72
524288              37137.77
1048576             75341.24
2097152            154055.03

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     125.24
2                     125.29
4                     126.62
8                     129.68
16                    124.82
32                     19.26
64                     21.43
128                    24.87
256                    30.66
512                    40.52
1024                   68.49
2048                  149.24
4096                  467.94
8192                  717.71
16384                2542.16
32768                3554.14
65536                4745.72
131072               9088.96
262144              18357.39
524288              37094.71
1048576             75213.65
2097152            153918.32

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     125.18
2                     125.17
4                     126.44
8                     129.59
16                    124.78
32                     19.30
64                     21.55
128                    24.63
256                    30.31
512                    40.17
1024                   67.09
2048                  144.75
4096                  469.18
8192                  716.99
16384                2386.65
32768                3588.95
65536                4759.67
131072               9169.77
262144              18549.93
524288              37254.21
1048576             75462.27
2097152            153668.67

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     125.05
2                     125.10
4                     126.34
8                     129.66
16                    124.73
32                     19.31
64                     21.07
128                    24.66
256                    30.41
512                    40.23
1024                   67.29
2048                  146.93
4096                  476.94
8192                  716.56
16384                2458.56
32768                3577.88
65536                4749.23
131072               9106.35
262144              18325.33
524288              37069.33
1048576             75146.37
2097152            153668.37
