
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.01
2                      17.56
4                      17.39
8                      17.71
16                     18.19
32                     19.39
64                     21.32
128                    24.30
256                    28.55
512                    36.95
1024                   60.63
2048                  107.17
4096                 1178.82
8192                 1961.10
16384                4923.54
32768                8789.64
65536               15892.16
131072              25782.69
262144              46181.94
524288             100131.53
1048576            225684.84
2097152            440155.27

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.95
2                      16.93
4                      16.95
8                      17.33
16                     17.93
32                     18.85
64                     20.52
128                    23.83
256                    28.48
512                    36.77
1024                   60.38
2048                  107.01
4096                 1159.67
8192                 1962.45
16384                4962.12
32768                8732.64
65536               15899.01
131072              25490.46
262144              46066.73
524288             100462.55
1048576            223927.53
2097152            439231.92

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.85
2                      16.89
4                      16.90
8                      17.22
16                     17.95
32                     18.81
64                     20.45
128                    23.86
256                    28.47
512                    36.79
1024                   60.79
2048                  107.54
4096                 1159.06
8192                 1968.40
16384                4909.02
32768                8749.85
65536               15859.74
131072              25686.38
262144              46024.03
524288              96972.10
1048576            223936.50
2097152            440475.87

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.73
2                      17.21
4                      17.37
8                      17.60
16                     18.45
32                     19.14
64                     20.76
128                    23.89
256                    28.61
512                    36.77
1024                   60.65
2048                  107.17
4096                 1156.92
8192                 1970.28
16384                4979.63
32768                8793.74
65536               15863.82
131072              25614.42
262144              46165.82
524288             101157.32
1048576            224780.93
2097152            439797.96

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.55
2                      17.22
4                      17.21
8                      17.71
16                     19.07
32                     19.14
64                     20.79
128                    24.26
256                    28.63
512                    36.80
1024                   60.62
2048                  107.48
4096                 1153.94
8192                 1977.06
16384                4809.21
32768                8802.94
65536               15874.18
131072              25685.95
262144              46121.02
524288             101488.57
1048576            222969.31
2097152            439748.06

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.68
2                      17.41
4                      16.82
8                      17.17
16                     17.80
32                     18.62
64                     20.70
128                    23.63
256                    28.52
512                    36.92
1024                   60.66
2048                  107.45
4096                 1147.84
8192                 2005.56
16384                4889.18
32768                8774.85
65536               15986.79
131072              25963.63
262144              46152.13
524288              99037.77
1048576            224473.21
2097152            439413.77

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.80
2                      16.85
4                      16.92
8                      17.25
16                     17.82
32                     18.71
64                     20.49
128                    23.61
256                    28.60
512                    37.22
1024                   60.81
2048                  107.61
4096                 1171.59
8192                 1981.11
16384                4871.76
32768                8818.72
65536               15861.04
131072              25569.17
262144              46189.93
524288              98613.65
1048576            224145.07
2097152            437802.50

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.74
2                      16.84
4                      16.87
8                      17.47
16                     17.95
32                     18.78
64                     20.47
128                    23.63
256                    28.60
512                    36.81
1024                   61.42
2048                  107.45
4096                 1161.45
8192                 1947.99
16384                4917.75
32768                8790.46
65536               15856.25
131072              25692.84
262144              46247.83
524288              98373.13
1048576            223725.13
2097152            440210.85

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.67
2                      16.75
4                      16.81
8                      17.13
16                     17.74
32                     18.59
64                     20.38
128                    23.55
256                    28.51
512                    37.07
1024                   60.70
2048                  107.25
4096                 1151.84
8192                 1964.99
16384                4822.83
32768                8794.46
65536               15846.04
131072              25595.61
262144              46233.93
524288              96864.52
1048576            224557.99
2097152            441474.84

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.79
2                      16.95
4                      16.86
8                      17.33
16                     18.57
32                     18.66
64                     20.60
128                    23.65
256                    28.77
512                    37.04
1024                   60.59
2048                  107.09
4096                 1173.84
8192                 1956.10
16384                4918.88
32768                8798.58
65536               15900.02
131072              25582.98
262144              46050.73
524288             100111.48
1048576            224777.95
2097152            442132.51
