
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.53
2                      16.13
4                      16.49
8                      17.45
16                     18.03
32                     20.07
64                     23.75
128                    30.23
256                    47.49
512                    73.86
1024                  124.19
2048                  210.34
4096                  345.30
8192                  628.54
16384                1510.20
32768                5193.59
65536               10630.41
131072              21416.33
262144              44470.05
524288              90404.97
1048576            178662.24
2097152            353601.50

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.53
2                      15.85
4                      16.41
8                      17.30
16                     17.95
32                     19.97
64                     23.45
128                    30.22
256                    47.43
512                    73.74
1024                  123.39
2048                  209.66
4096                  344.43
8192                  629.67
16384                1525.07
32768                5061.26
65536               10461.92
131072              21513.34
262144              44508.31
524288              90503.38
1048576            178729.89
2097152            353528.95

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.60
2                      15.87
4                      16.51
8                      17.48
16                     18.06
32                     20.18
64                     23.55
128                    30.30
256                    47.67
512                    73.88
1024                  124.06
2048                  210.65
4096                  346.18
8192                  631.22
16384                1512.87
32768                5212.61
65536               10590.36
131072              21757.31
262144              44728.25
524288              90694.13
1048576            179110.18
2097152            353943.93

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.51
2                      15.81
4                      16.37
8                      17.36
16                     17.88
32                     20.02
64                     23.48
128                    30.17
256                    47.63
512                    73.79
1024                  123.90
2048                  209.87
4096                  345.87
8192                  629.53
16384                1510.17
32768                5191.91
65536               10448.38
131072              21525.22
262144              44687.58
524288              90831.14
1048576            178988.66
2097152            354000.32

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.48
2                      15.89
4                      16.48
8                      17.35
16                     18.03
32                     20.10
64                     23.52
128                    30.23
256                    47.64
512                    73.79
1024                  123.74
2048                  209.41
4096                  345.62
8192                  631.71
16384                1518.00
32768                5202.25
65536               10610.31
131072              21697.11
262144              44713.17
524288              90867.34
1048576            178866.88
2097152            354017.84

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.65
2                      15.91
4                      16.50
8                      17.44
16                     18.06
32                     20.10
64                     23.68
128                    30.30
256                    47.52
512                    73.79
1024                  123.61
2048                  209.14
4096                  344.62
8192                  630.54
16384                1522.30
32768                5188.25
65536               10552.82
131072              21501.14
262144              44663.13
524288              90632.89
1048576            179047.34
2097152            353859.73

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.53
2                      15.84
4                      16.44
8                      17.43
16                     18.05
32                     20.04
64                     23.50
128                    30.19
256                    47.58
512                    73.75
1024                  123.88
2048                  210.72
4096                  347.43
8192                  635.76
16384                1516.95
32768                5063.81
65536               10479.96
131072              21468.58
262144              44599.03
524288              90502.27
1048576            178879.81
2097152            354545.81

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.49
2                      15.86
4                      16.49
8                      17.40
16                     17.99
32                     20.03
64                     23.46
128                    30.09
256                    47.57
512                    73.76
1024                  123.41
2048                  209.32
4096                  345.21
8192                  631.26
16384                1510.58
32768                5189.45
65536               10679.38
131072              21436.02
262144              44704.42
524288              90753.57
1048576            178756.82
2097152            354030.16

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.50
2                      15.89
4                      16.47
8                      17.38
16                     17.99
32                     20.07
64                     23.60
128                    30.26
256                    47.60
512                    73.89
1024                  124.02
2048                  210.04
4096                  344.94
8192                  630.25
16384                1522.00
32768                5204.99
65536               10607.68
131072              21795.34
262144              44714.40
524288              90690.00
1048576            178915.71
2097152            354119.74

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.48
2                      15.84
4                      16.48
8                      17.46
16                     18.06
32                     20.11
64                     23.57
128                    30.33
256                    47.63
512                    73.90
1024                  123.99
2048                  210.05
4096                  345.74
8192                  633.95
16384                1505.88
32768                5183.52
65536               10491.75
131072              21331.97
262144              44494.24
524288              90704.03
1048576            178803.37
2097152            353624.58
