
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      43.87
2                      43.57
4                      41.66
8                      43.87
16                     40.37
32                     43.26
64                     46.27
128                    52.29
256                    61.15
512                    78.46
1024                  120.47
2048                  211.30
4096                  405.59
8192                  810.80
16384                2323.66
32768                4320.71
65536                7624.61
131072              14490.64
262144              28241.37
524288              56946.58
1048576            126254.60
2097152            287232.17

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      43.85
2                      43.61
4                      41.56
8                      44.18
16                     40.47
32                     43.36
64                     46.87
128                    52.25
256                    61.28
512                    78.40
1024                  120.25
2048                  210.00
4096                  401.72
8192                  807.04
16384                2253.15
32768                4277.12
65536                7645.64
131072              14539.71
262144              28281.56
524288              56735.88
1048576            126410.72
2097152            296184.12

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      43.81
2                      43.56
4                      41.51
8                      43.98
16                     40.48
32                     43.36
64                     46.35
128                    52.26
256                    61.19
512                    78.36
1024                  120.15
2048                  211.54
4096                  412.42
8192                  797.66
16384                2303.04
32768                4311.25
65536                7586.24
131072              14508.92
262144              28147.75
524288              57015.95
1048576            127000.00
2097152            294295.30

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      43.84
2                      43.57
4                      41.49
8                      44.02
16                     40.51
32                     43.45
64                     46.44
128                    52.32
256                    61.25
512                    78.41
1024                  120.23
2048                  210.82
4096                  407.09
8192                  803.12
16384                2325.97
32768                4309.73
65536                7574.68
131072              14313.54
262144              28227.41
524288              56681.51
1048576            124108.36
2097152            291130.51

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      43.84
2                      43.58
4                      41.61
8                      44.00
16                     40.58
32                     43.39
64                     46.37
128                    52.35
256                    61.19
512                    78.37
1024                  121.19
2048                  211.35
4096                  412.71
8192                  802.59
16384                2342.38
32768                4313.72
65536                7525.26
131072              14518.14
262144              28320.99
524288              56983.14
1048576            123915.70
2097152            288128.04

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      43.81
2                      43.54
4                      41.41
8                      43.89
16                     40.41
32                     43.25
64                     46.43
128                    52.22
256                    61.26
512                    78.29
1024                  120.13
2048                  210.20
4096                  410.49
8192                  802.53
16384                2262.19
32768                4330.81
65536                7595.15
131072              14375.53
262144              28231.74
524288              57012.87
1048576            124881.96
2097152            285456.33

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      43.96
2                      43.54
4                      41.43
8                      43.90
16                     40.45
32                     43.25
64                     46.53
128                    52.19
256                    61.28
512                    78.53
1024                  120.32
2048                  210.58
4096                  411.51
8192                  809.96
16384                2290.51
32768                4333.88
65536                7604.22
131072              14377.65
262144              28095.07
524288              57020.05
1048576            124374.45
2097152            289984.38

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      43.88
2                      43.62
4                      41.41
8                      43.89
16                     40.44
32                     43.29
64                     46.46
128                    52.22
256                    61.23
512                    78.33
1024                  120.29
2048                  210.33
4096                  407.39
8192                  812.49
16384                2302.85
32768                4348.38
65536                7562.94
131072              14448.64
262144              28195.92
524288              57095.19
1048576            123006.40
2097152            289373.09

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      43.86
2                      43.57
4                      41.45
8                      43.86
16                     40.54
32                     43.30
64                     46.33
128                    52.19
256                    61.22
512                    78.33
1024                  120.42
2048                  210.57
4096                  405.47
8192                  800.14
16384                2260.71
32768                4278.27
65536                7594.59
131072              14431.90
262144              28141.28
524288              56798.85
1048576            122682.79
2097152            290193.07

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      43.80
2                      43.55
4                      41.48
8                      43.96
16                     40.65
32                     43.36
64                     46.51
128                    52.63
256                    61.56
512                    78.73
1024                  120.15
2048                  209.88
4096                  405.87
8192                  796.13
16384                2199.15
32768                4371.28
65536                7575.71
131072              14444.56
262144              28197.74
524288              57214.89
1048576            126631.17
2097152            291538.20
