
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      40.87
2                      40.08
4                      40.87
8                      43.36
16                     39.90
32                     42.74
64                     45.48
128                    50.94
256                    58.98
512                    74.48
1024                  113.67
2048                  187.91
4096                 1058.28
8192                 2129.67
16384                4515.08
32768                8299.14
65536               15103.11
131072              30093.61
262144              60280.23
524288             120539.31
1048576            239291.18
2097152            476843.26

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      41.07
2                      40.18
4                      41.02
8                      43.44
16                     40.05
32                     42.89
64                     45.61
128                    51.05
256                    58.95
512                    74.41
1024                  113.49
2048                  187.49
4096                 1057.69
8192                 2148.77
16384                4581.71
32768                8184.64
65536               15076.38
131072              30071.94
262144              60221.53
524288             120469.47
1048576            239244.43
2097152            476819.50

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      41.55
2                      40.39
4                      41.13
8                      44.00
16                     40.16
32                     43.12
64                     45.72
128                    50.99
256                    58.82
512                    74.35
1024                  113.83
2048                  188.41
4096                 1039.27
8192                 2035.94
16384                4713.22
32768                8217.56
65536               15077.44
131072              30087.57
262144              60226.06
524288             120485.39
1048576            239296.06
2097152            476792.40

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      40.96
2                      40.17
4                      40.97
8                      43.44
16                     40.06
32                     42.81
64                     45.64
128                    51.19
256                    58.96
512                    74.51
1024                  113.38
2048                  187.65
4096                 1041.87
8192                 2044.05
16384                4766.57
32768                8171.45
65536               15087.78
131072              30057.14
262144              60237.56
524288             120457.05
1048576            239235.98
2097152            476696.54

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      41.08
2                      40.20
4                      40.99
8                      43.52
16                     39.99
32                     42.84
64                     45.53
128                    51.01
256                    58.94
512                    74.82
1024                  113.53
2048                  187.55
4096                 1055.52
8192                 2028.37
16384                4727.16
32768                8225.14
65536               15130.96
131072              30078.05
262144              60213.55
524288             120502.90
1048576            239319.52
2097152            476807.26

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      40.92
2                      39.98
4                      40.83
8                      43.27
16                     39.89
32                     42.71
64                     45.46
128                    50.88
256                    58.91
512                    74.40
1024                  113.64
2048                  187.62
4096                 1044.60
8192                 2046.27
16384                4532.76
32768                8186.53
65536               15105.62
131072              30127.54
262144              60241.00
524288             120443.62
1048576            239257.33
2097152            476715.47

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      40.98
2                      40.09
4                      40.95
8                      43.43
16                     39.95
32                     42.81
64                     45.49
128                    50.92
256                    58.92
512                    74.38
1024                  113.09
2048                  186.85
4096                 1033.67
8192                 2062.08
16384                4632.28
32768                8194.46
65536               15092.66
131072              30098.79
262144              60216.37
524288             120497.91
1048576            239299.82
2097152            476832.27

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      41.28
2                      40.19
4                      40.99
8                      43.49
16                     39.96
32                     42.78
64                     45.63
128                    50.93
256                    58.97
512                    74.43
1024                  113.51
2048                  187.50
4096                 1035.62
8192                 2079.54
16384                4448.03
32768                8190.24
65536               15107.21
131072              30043.75
262144              60195.71
524288             120489.62
1048576            239251.45
2097152            476864.97

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      41.23
2                      40.38
4                      41.20
8                      43.64
16                     40.16
32                     43.03
64                     45.74
128                    51.07
256                    59.13
512                    74.42
1024                  113.82
2048                  187.88
4096                 1020.94
8192                 2058.95
16384                4606.14
32768                8196.19
65536               15125.46
131072              30162.44
262144              60246.27
524288             120542.00
1048576            239396.16
2097152            476876.38

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      41.00
2                      40.30
4                      41.07
8                      43.47
16                     40.11
32                     43.26
64                     45.77
128                    51.14
256                    59.28
512                    74.50
1024                  114.17
2048                  187.87
4096                 1034.17
8192                 2034.11
16384                4719.90
32768                8201.96
65536               15103.51
131072              30114.43
262144              60217.99
524288             120477.68
1048576            239250.79
2097152            476810.37
