
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      39.54
2                      38.50
4                      38.93
8                      41.14
16                     38.74
32                     41.65
64                     45.12
128                    56.42
256                    68.75
512                    94.27
1024                  143.51
2048                  233.84
4096                  385.50
8192                  701.48
16384                1544.29
32768                5860.93
65536               12119.50
131072              25652.54
262144              53117.71
524288             105673.59
1048576            208072.86
2097152            406377.30

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      39.47
2                      38.45
4                      38.93
8                      41.12
16                     38.74
32                     41.78
64                     45.15
128                    56.17
256                    68.58
512                    94.20
1024                  143.00
2048                  234.11
4096                  386.80
8192                  702.50
16384                1536.05
32768                5887.44
65536               12292.45
131072              26455.68
262144              53228.07
524288             105794.40
1048576            207801.05
2097152            406908.93

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      39.54
2                      38.45
4                      38.87
8                      41.06
16                     38.60
32                     41.68
64                     45.14
128                    56.28
256                    68.67
512                    94.20
1024                  143.41
2048                  234.06
4096                  385.47
8192                  701.31
16384                1543.61
32768                5923.09
65536               12238.57
131072              25656.03
262144              53517.08
524288             105982.20
1048576            207696.78
2097152            406929.12

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      39.49
2                      38.53
4                      38.93
8                      41.04
16                     38.70
32                     41.80
64                     45.14
128                    56.25
256                    68.72
512                    94.29
1024                  143.97
2048                  233.75
4096                  385.61
8192                  701.45
16384                1551.26
32768                5939.42
65536               12121.03
131072              25607.01
262144              53546.29
524288             105971.45
1048576            208022.47
2097152            406797.91

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      39.53
2                      38.40
4                      38.86
8                      41.02
16                     38.65
32                     41.65
64                     45.07
128                    56.23
256                    68.50
512                    94.40
1024                  143.49
2048                  234.12
4096                  385.83
8192                  702.65
16384                1546.16
32768                5901.85
65536               12442.90
131072              25498.42
262144              53405.23
524288             106087.64
1048576            207883.61
2097152            406787.19

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      39.58
2                      38.49
4                      38.89
8                      41.09
16                     38.66
32                     41.74
64                     45.12
128                    56.34
256                    68.59
512                    94.19
1024                  143.46
2048                  233.76
4096                  385.68
8192                  700.61
16384                1558.92
32768                5956.78
65536               12056.39
131072              25619.35
262144              53418.96
524288             106086.06
1048576            207730.05
2097152            406610.36

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      39.59
2                      38.53
4                      38.97
8                      41.16
16                     38.77
32                     41.75
64                     45.23
128                    56.52
256                    68.99
512                    94.39
1024                  144.72
2048                  234.44
4096                  385.95
8192                  702.88
16384                1532.28
32768                5847.27
65536               12367.85
131072              26440.97
262144              53590.92
524288             105894.69
1048576            207897.29
2097152            406686.83

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      39.61
2                      38.58
4                      39.01
8                      41.20
16                     38.79
32                     41.89
64                     45.27
128                    56.36
256                    68.78
512                    94.24
1024                  144.59
2048                  234.22
4096                  386.03
8192                  703.76
16384                1541.56
32768                5919.28
65536               12081.01
131072              25687.12
262144              53323.70
524288             105765.42
1048576            207891.56
2097152            406575.68

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      39.60
2                      38.57
4                      38.91
8                      41.19
16                     38.74
32                     41.99
64                     45.32
128                    56.49
256                    68.94
512                    94.85
1024                  144.17
2048                  235.24
4096                  386.16
8192                  706.81
16384                1529.92
32768                5884.44
65536               12197.26
131072              25592.58
262144              53203.87
524288             106058.86
1048576            207821.49
2097152            406726.10

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      39.49
2                      38.58
4                      38.98
8                      41.17
16                     38.76
32                     41.69
64                     45.12
128                    56.32
256                    68.67
512                    94.31
1024                  143.66
2048                  234.42
4096                  386.28
8192                  703.82
16384                1536.56
32768                5894.01
65536               12276.58
131072              25695.26
262144              53386.50
524288             106035.19
1048576            207985.72
2097152            407311.22
