
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.84
2                      47.79
4                      48.04
8                      51.73
16                     48.29
32                     52.13
64                     56.97
128                    70.48
256                    89.29
512                   119.23
1024                  187.64
2048                  328.47
4096                  549.55
8192                 1154.35
16384                4434.23
32768                9174.61
65536               18351.79
131072              38061.26
262144              77841.89
524288             149784.76
1048576            357571.63
2097152            719284.78

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.85
2                      47.79
4                      48.05
8                      51.70
16                     48.20
32                     52.10
64                     56.98
128                    70.37
256                    89.12
512                   119.10
1024                  187.63
2048                  324.17
4096                  549.92
8192                 1157.98
16384                4447.85
32768                9102.46
65536               18411.48
131072              37589.05
262144              74881.17
524288             148097.86
1048576            357250.86
2097152            721444.02

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.94
2                      47.87
4                      48.20
8                      51.63
16                     48.31
32                     52.13
64                     56.98
128                    70.49
256                    89.43
512                   119.47
1024                  188.28
2048                  324.70
4096                  550.81
8192                 1151.46
16384                4414.11
32768                9043.08
65536               18573.09
131072              37510.46
262144              78115.00
524288             154456.48
1048576            357257.00
2097152            717441.67

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.82
2                      47.94
4                      48.00
8                      51.78
16                     48.22
32                     52.11
64                     56.97
128                    70.31
256                    89.23
512                   119.19
1024                  187.82
2048                  326.24
4096                  548.55
8192                 1156.90
16384                4406.22
32768                8978.57
65536               18762.70
131072              38653.13
262144              77632.71
524288             154234.16
1048576            357623.26
2097152            716833.10

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.86
2                      48.01
4                      48.08
8                      51.83
16                     48.18
32                     52.20
64                     57.20
128                    70.49
256                    89.18
512                   119.11
1024                  188.14
2048                  322.69
4096                  549.05
8192                 1158.79
16384                4388.71
32768                9047.32
65536               18768.02
131072              37479.09
262144              77520.87
524288             154219.81
1048576            356997.61
2097152            723193.69

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.94
2                      47.93
4                      48.18
8                      51.81
16                     48.29
32                     52.32
64                     57.11
128                    70.66
256                    89.56
512                   119.42
1024                  188.29
2048                  326.09
4096                  548.89
8192                 1158.30
16384                4432.08
32768                9115.55
65536               18845.89
131072              37344.38
262144              77687.79
524288             154414.04
1048576            357304.55
2097152            720341.42

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.88
2                      47.84
4                      48.05
8                      51.60
16                     48.27
32                     52.09
64                     56.94
128                    70.31
256                    89.19
512                   119.20
1024                  188.51
2048                  326.93
4096                  649.87
8192                 1154.81
16384                4457.40
32768                8997.82
65536               18626.12
131072              37601.80
262144              75859.96
524288             149290.09
1048576            357463.02
2097152            721062.06

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.94
2                      47.92
4                      48.11
8                      51.69
16                     48.50
32                     52.13
64                     57.07
128                    70.64
256                    89.62
512                   119.48
1024                  187.99
2048                  325.24
4096                  548.56
8192                 1158.95
16384                4406.11
32768                9046.70
65536               18837.04
131072              38911.35
262144              77840.62
524288             154216.43
1048576            357549.38
2097152            719088.24

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.92
2                      47.88
4                      48.12
8                      51.67
16                     48.23
32                     52.22
64                     57.11
128                    70.53
256                    89.51
512                   119.46
1024                  188.16
2048                  323.11
4096                  553.33
8192                 1163.91
16384                4431.73
32768                8924.54
65536               18389.70
131072              37811.95
262144              77720.15
524288             154277.82
1048576            357312.54
2097152            719538.44

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      47.87
2                      47.84
4                      48.34
8                      51.60
16                     48.25
32                     52.15
64                     56.92
128                    70.31
256                    89.08
512                   119.28
1024                  188.18
2048                  327.87
4096                  550.54
8192                 1156.09
16384                4433.54
32768                9150.67
65536               18428.21
131072              38763.67
262144              77705.52
524288             149757.38
1048576            357117.66
2097152            717961.05
