
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    38.41
512                    48.55
1024                   71.45
2048                  114.26
4096                  243.21
8192                  809.63
16384                3917.98
32768                8229.38
65536               16046.95
131072              32095.15
262144              63908.23
524288             118014.32
1048576            214650.37
2097152            418065.79

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    38.34
512                    48.47
1024                   70.77
2048                  113.71
4096                  242.99
8192                  794.31
16384                3932.34
32768                8197.45
65536               16021.87
131072              32021.95
262144              63956.92
524288             118671.03
1048576            215118.31
2097152            417966.70

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    38.54
512                    48.89
1024                   70.97
2048                  114.12
4096                  245.45
8192                  821.25
16384                3922.07
32768                8270.67
65536               16081.65
131072              32131.35
262144              64029.63
524288             118387.70
1048576            215104.90
2097152            417976.18

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    38.48
512                    48.53
1024                   71.05
2048                  114.09
4096                  242.48
8192                  802.99
16384                3968.21
32768                8179.51
65536               15971.06
131072              32029.29
262144              64359.31
524288             118265.18
1048576            214356.72
2097152            417998.12

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    38.30
512                    48.50
1024                   70.84
2048                  113.89
4096                  244.12
8192                  815.84
16384                3928.97
32768                8214.25
65536               16014.21
131072              32064.88
262144              64563.94
524288             118075.85
1048576            215031.13
2097152            418280.05

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    38.47
512                    48.61
1024                   71.01
2048                  113.98
4096                  243.16
8192                  802.45
16384                3920.56
32768                8221.32
65536               16021.23
131072              32042.50
262144              64206.83
524288             118415.47
1048576            214893.47
2097152            418355.36

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    38.31
512                    48.48
1024                   70.80
2048                  113.86
4096                  242.07
8192                  805.42
16384                3915.20
32768                8219.97
65536               15990.25
131072              31975.04
262144              64236.92
524288             118351.41
1048576            214839.88
2097152            417982.07

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    38.33
512                    48.49
1024                   70.95
2048                  114.02
4096                  242.65
8192                  810.47
16384                3926.96
32768                8217.63
65536               16089.81
131072              32073.33
262144              64301.92
524288             118411.16
1048576            215080.03
2097152            418542.04

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    38.30
512                    48.71
1024                   70.96
2048                  113.82
4096                  242.80
8192                  803.89
16384                3922.70
32768                8248.21
65536               16068.22
131072              32123.04
262144              64383.50
524288             118381.81
1048576            215164.19
2097152            418680.57

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    38.35
512                    48.53
1024                   71.40
2048                  114.65
4096                  242.78
8192                  805.69
16384                3919.45
32768                8227.11
65536               16025.85
131072              32117.08
262144              64200.11
524288             118206.36
1048576            214739.35
2097152            418286.27
