
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    60.32
512                    69.09
1024                   84.54
2048                  112.35
4096                  167.53
8192                  283.93
16384                 511.66
32768                 991.08
65536                2138.83
131072               4411.41
262144               9149.37
524288              19180.01
1048576             38864.57
2097152             77985.44

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    60.27
512                    69.18
1024                   84.57
2048                  112.34
4096                  167.35
8192                  283.91
16384                 513.52
32768                 980.83
65536                2134.79
131072               4406.07
262144               9150.65
524288              19196.63
1048576             38867.39
2097152             78010.51

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    60.30
512                    69.16
1024                   84.55
2048                  112.23
4096                  167.64
8192                  284.33
16384                 518.13
32768                 986.37
65536                2135.28
131072               4401.68
262144               9162.91
524288              19180.67
1048576             38854.26
2097152             77989.76

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    60.42
512                    69.14
1024                   84.52
2048                  112.27
4096                  167.24
8192                  284.93
16384                 520.43
32768                 993.36
65536                2136.44
131072               4405.93
262144               9140.00
524288              19155.88
1048576             38856.32
2097152             77995.46

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    60.28
512                    69.17
1024                   84.56
2048                  112.11
4096                  167.23
8192                  283.71
16384                 517.14
32768                 985.80
65536                2136.38
131072               4412.52
262144               9144.42
524288              19187.54
1048576             38850.23
2097152             77928.86

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    60.03
512                    68.93
1024                   84.63
2048                  112.15
4096                  167.59
8192                  285.41
16384                 513.63
32768                 996.38
65536                2134.52
131072               4418.40
262144               9147.46
524288              19168.59
1048576             38864.17
2097152             77960.17

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    60.52
512                    69.16
1024                   84.67
2048                  112.29
4096                  167.96
8192                  284.97
16384                 513.49
32768                 994.94
65536                2142.52
131072               4390.12
262144               9149.74
524288              19191.11
1048576             38871.49
2097152             77983.96

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    60.38
512                    69.30
1024                   84.66
2048                  112.10
4096                  167.37
8192                  284.13
16384                 513.77
32768                1000.27
65536                2138.78
131072               4399.64
262144               9156.08
524288              19168.43
1048576             38822.14
2097152             77988.98

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    60.06
512                    69.05
1024                   84.63
2048                  112.30
4096                  167.80
8192                  284.98
16384                 513.71
32768                 991.24
65536                2131.83
131072               4398.22
262144               9148.51
524288              19171.20
1048576             38910.91
2097152             78043.51

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    60.16
512                    69.15
1024                   84.44
2048                  112.12
4096                  167.14
8192                  283.84
16384                 514.26
32768                 994.72
65536                2134.76
131072               4421.86
262144               9153.08
524288              19197.00
1048576             38884.02
2097152             77979.82
