
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    60.71
512                    69.07
1024                   84.93
2048                  111.83
4096                  167.30
8192                  284.45
16384                 528.66
32768                 992.43
65536                2132.62
131072               4463.96
262144               9133.41
524288              18952.75
1048576             38431.25
2097152             77569.75

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    60.45
512                    68.94
1024                   84.66
2048                  111.76
4096                  166.94
8192                  283.86
16384                 534.22
32768                 985.90
65536                2131.54
131072               4422.04
262144               9127.54
524288              18964.09
1048576             38426.82
2097152             77660.07

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    60.53
512                    69.02
1024                   84.75
2048                  111.82
4096                  166.88
8192                  283.90
16384                 528.55
32768                 985.63
65536                2131.60
131072               4441.58
262144               9123.26
524288              18955.63
1048576             38426.00
2097152             77590.91

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    60.45
512                    69.04
1024                   84.75
2048                  111.63
4096                  167.02
8192                  284.25
16384                 523.84
32768                 984.46
65536                2131.49
131072               4442.36
262144               9129.70
524288              18945.55
1048576             38430.06
2097152             77551.13

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    60.72
512                    69.12
1024                   84.79
2048                  111.88
4096                  167.29
8192                  284.58
16384                 523.93
32768                 984.66
65536                2133.10
131072               4428.30
262144               9143.90
524288              18981.96
1048576             38455.86
2097152             77590.13

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    60.85
512                    69.14
1024                   84.92
2048                  112.20
4096                  167.32
8192                  284.41
16384                 527.54
32768                 991.47
65536                2134.48
131072               4435.08
262144               9120.73
524288              18983.17
1048576             38483.00
2097152             77681.11

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    60.58
512                    69.02
1024                   84.71
2048                  111.75
4096                  167.14
8192                  283.69
16384                 527.80
32768                 988.03
65536                2130.54
131072               4424.47
262144               9142.31
524288              18966.49
1048576             38420.71
2097152             77609.10

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    60.57
512                    69.08
1024                   84.74
2048                  111.78
4096                  167.10
8192                  284.71
16384                 511.97
32768                 984.07
65536                2131.87
131072               4436.53
262144               9127.51
524288              18956.71
1048576             38409.34
2097152             77622.54

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    60.48
512                    69.05
1024                   84.79
2048                  112.77
4096                  167.35
8192                  284.53
16384                 523.29
32768                 988.27
65536                2135.03
131072               4455.77
262144               9119.98
524288              18956.30
1048576             38441.28
2097152             77556.86

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    60.77
512                    69.05
1024                   84.95
2048                  111.74
4096                  167.16
8192                  284.46
16384                 520.93
32768                 981.78
65536                2135.05
131072               4431.42
262144               9130.63
524288              18972.63
1048576             38406.08
2097152             77551.87
