
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    40.03
512                    49.57
1024                   71.69
2048                  108.12
4096                  189.65
8192                  433.25
16384                1107.23
32768                1959.01
65536                3969.47
131072               8250.82
262144              16881.87
524288              34350.85
1048576             68624.92
2097152            135597.37

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    40.03
512                    49.62
1024                   71.59
2048                  107.85
4096                  189.72
8192                  430.01
16384                1074.88
32768                1954.43
65536                3967.34
131072               8249.10
262144              16877.04
524288              34322.79
1048576             68616.79
2097152            135620.47

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    40.23
512                    49.56
1024                   71.61
2048                  107.98
4096                  189.95
8192                  431.93
16384                1106.00
32768                1958.35
65536                3961.49
131072               8238.83
262144              16878.86
524288              34290.09
1048576             68583.03
2097152            135461.70

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    40.28
512                    50.18
1024                   71.90
2048                  108.36
4096                  189.85
8192                  434.69
16384                1082.24
32768                1963.94
65536                3962.69
131072               8249.59
262144              16926.70
524288              34253.21
1048576             68585.60
2097152            135666.38

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    40.34
512                    49.59
1024                   71.59
2048                  107.90
4096                  189.63
8192                  430.20
16384                1138.42
32768                1957.22
65536                3970.06
131072               8257.07
262144              16938.87
524288              34334.87
1048576             68730.70
2097152            135601.52

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    40.17
512                    49.63
1024                   71.73
2048                  108.00
4096                  190.33
8192                  438.69
16384                1090.40
32768                1961.70
65536                3971.07
131072               8250.09
262144              16914.88
524288              34316.87
1048576             68626.21
2097152            135831.47

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    40.04
512                    49.59
1024                   71.57
2048                  107.79
4096                  189.57
8192                  434.27
16384                1074.19
32768                1956.12
65536                3960.36
131072               8239.66
262144              16884.32
524288              34313.22
1048576             68570.44
2097152            135699.01

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    40.03
512                    49.64
1024                   71.60
2048                  107.82
4096                  190.18
8192                  430.73
16384                1119.90
32768                1959.27
65536                3968.29
131072               8248.18
262144              16919.80
524288              34234.23
1048576             68700.86
2097152            135618.35

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    40.21
512                    49.66
1024                   71.68
2048                  107.83
4096                  190.08
8192                  432.54
16384                1094.26
32768                1956.20
65536                3964.96
131072               8254.95
262144              16897.88
524288              34273.09
1048576             68521.57
2097152            135789.95

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    40.13
512                    49.69
1024                   71.61
2048                  108.01
4096                  190.29
8192                  433.21
16384                1093.70
32768                1968.10
65536                3979.76
131072               8256.92
262144              16940.42
524288              34251.26
1048576             68525.33
2097152            135453.19
