
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    42.94
512                    53.29
1024                   76.77
2048                  121.92
4096                  255.81
8192                  846.19
16384                3966.92
32768                8283.62
65536               16120.41
131072              32154.54
262144              64377.11
524288             118685.96
1048576            214800.94
2097152            418025.10

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    42.78
512                    53.47
1024                   76.36
2048                  121.74
4096                  254.44
8192                  824.96
16384                3959.29
32768                8341.54
65536               16175.68
131072              32100.09
262144              64442.15
524288             118084.52
1048576            214724.93
2097152            418469.62

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    42.83
512                    53.18
1024                   76.51
2048                  121.44
4096                  255.19
8192                  825.63
16384                4006.51
32768                8225.50
65536               16090.57
131072              32094.00
262144              64052.27
524288             118510.97
1048576            214680.01
2097152            418632.75

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    42.85
512                    53.32
1024                   76.46
2048                  122.12
4096                  254.21
8192                  827.45
16384                4015.06
32768                8232.60
65536               16035.53
131072              32053.97
262144              64479.14
524288             118435.67
1048576            215014.57
2097152            418477.25

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    42.91
512                    53.27
1024                   76.49
2048                  121.87
4096                  255.34
8192                  820.73
16384                3967.87
32768                8234.15
65536               16124.84
131072              32099.31
262144              64469.79
524288             118060.32
1048576            214684.15
2097152            418545.90

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    42.76
512                    53.29
1024                   76.44
2048                  121.74
4096                  254.39
8192                  822.80
16384                3960.46
32768                8296.00
65536               16101.32
131072              32106.69
262144              64455.72
524288             118555.92
1048576            214957.03
2097152            418450.58

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    42.76
512                    53.34
1024                   76.61
2048                  122.07
4096                  255.44
8192                  836.14
16384                3973.57
32768                8296.96
65536               16126.76
131072              32188.06
262144              64089.82
524288             118129.75
1048576            214621.35
2097152            417964.83

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    42.86
512                    53.24
1024                   76.36
2048                  121.28
4096                  252.44
8192                  823.65
16384                3966.82
32768                8274.15
65536               16090.40
131072              32099.43
262144              64187.99
524288             118386.40
1048576            214622.59
2097152            418607.58

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    42.97
512                    53.37
1024                   76.90
2048                  122.30
4096                  256.88
8192                  850.55
16384                4024.02
32768                8306.97
65536               16054.45
131072              32018.48
262144              64046.47
524288             118342.18
1048576            214712.08
2097152            417783.13

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    42.90
512                    53.29
1024                   76.74
2048                  121.62
4096                  254.39
8192                  823.41
16384                4002.79
32768                8484.09
65536               16164.16
131072              32071.07
262144              64099.58
524288             118491.35
1048576            214859.52
2097152            418227.50
