
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    88.84
512                   100.59
1024                  121.07
2048                  161.18
4096                  252.89
8192                  445.42
16384                 916.64
32768                2166.19
65536                3656.42
131072               7664.64
262144              16230.92
524288              33063.05
1048576             67060.31
2097152            134929.54

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    88.39
512                   101.88
1024                  121.16
2048                  160.97
4096                  252.80
8192                  452.76
16384                 920.63
32768                2188.12
65536                3656.80
131072               7664.82
262144              16243.70
524288              33103.66
1048576             67121.55
2097152            134899.02

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    88.15
512                   100.51
1024                  120.76
2048                  160.76
4096                  252.44
8192                  450.12
16384                 917.90
32768                2159.66
65536                3651.89
131072               7650.84
262144              16218.79
524288              33095.78
1048576             67187.20
2097152            134827.67

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    88.15
512                   100.55
1024                  120.95
2048                  161.80
4096                  252.63
8192                  445.55
16384                 917.23
32768                2164.79
65536                3658.92
131072               7645.67
262144              16215.82
524288              33067.93
1048576             67058.60
2097152            134883.18

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    88.28
512                   100.51
1024                  120.77
2048                  160.80
4096                  252.07
8192                  450.55
16384                 916.82
32768                2182.38
65536                3653.52
131072               7642.44
262144              16226.35
524288              33081.36
1048576             67092.60
2097152            134882.60

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    89.66
512                   101.49
1024                  121.60
2048                  160.90
4096                  252.58
8192                  450.89
16384                 919.31
32768                2199.30
65536                3658.96
131072               7735.68
262144              16242.82
524288              33082.96
1048576             67039.61
2097152            134931.09

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    88.87
512                   100.94
1024                  121.18
2048                  161.52
4096                  253.51
8192                  448.55
16384                 929.62
32768                2200.38
65536                3659.97
131072               7680.25
262144              16226.70
524288              33085.26
1048576             67051.56
2097152            134860.71

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    89.13
512                   100.80
1024                  120.90
2048                  160.62
4096                  251.90
8192                  447.91
16384                 919.23
32768                2182.35
65536                3657.94
131072               7684.01
262144              16222.94
524288              33060.30
1048576             67055.01
2097152            134766.15

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    87.90
512                   100.38
1024                  120.78
2048                  160.82
4096                  252.60
8192                  450.34
16384                 916.79
32768                2174.50
65536                3657.69
131072               7641.58
262144              16247.50
524288              33100.48
1048576             67091.70
2097152            134840.76

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    88.33
512                   100.60
1024                  120.70
2048                  160.58
4096                  252.21
8192                  447.90
16384                 916.15
32768                2170.26
65536                3658.25
131072               7649.03
262144              16249.14
524288              33086.64
1048576             66998.96
2097152            134994.78
