
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    64.53
512                    73.67
1024                   90.13
2048                  118.70
4096                  176.77
8192                  297.13
16384                 561.34
32768                1058.78
65536                2316.48
131072               4742.29
262144               9665.53
524288              20021.17
1048576             40656.43
2097152             82272.98

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    64.67
512                    73.82
1024                   90.09
2048                  118.55
4096                  176.41
8192                  296.26
16384                 550.19
32768                1053.76
65536                2324.91
131072               4768.59
262144               9667.88
524288              20056.80
1048576             40633.16
2097152             82341.17

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    64.64
512                    73.80
1024                   89.95
2048                  118.48
4096                  176.21
8192                  296.09
16384                 572.10
32768                1045.87
65536                2319.40
131072               4745.44
262144               9662.65
524288              20036.65
1048576             40686.23
2097152             82298.79

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    64.49
512                    73.74
1024                   90.06
2048                  118.72
4096                  176.85
8192                  297.25
16384                 551.05
32768                1055.14
65536                2318.18
131072               4722.53
262144               9657.20
524288              20053.71
1048576             40725.45
2097152             82316.76

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    64.43
512                    73.80
1024                   90.02
2048                  118.76
4096                  176.57
8192                  297.29
16384                 568.46
32768                1047.54
65536                2322.38
131072               4752.80
262144               9660.17
524288              20039.11
1048576             40702.61
2097152             82272.72

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    64.49
512                    73.71
1024                   90.06
2048                  118.59
4096                  176.35
8192                  296.63
16384                 551.62
32768                1047.31
65536                2322.57
131072               4720.91
262144               9661.77
524288              20013.76
1048576             40697.79
2097152             82272.24

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    64.54
512                    73.72
1024                   89.93
2048                  118.47
4096                  176.55
8192                  296.82
16384                 561.02
32768                1047.01
65536                2321.21
131072               4755.86
262144               9662.11
524288              19997.95
1048576             40679.16
2097152             82218.90

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    64.53
512                    73.83
1024                   90.17
2048                  118.82
4096                  176.58
8192                  296.83
16384                 561.40
32768                1048.37
65536                2317.39
131072               4725.29
262144               9639.25
524288              20034.39
1048576             40710.30
2097152             82250.08

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    64.61
512                    74.06
1024                   90.27
2048                  118.57
4096                  176.54
8192                  296.17
16384                 566.80
32768                1052.94
65536                2319.86
131072               4729.32
262144               9665.63
524288              20047.94
1048576             40630.33
2097152             82299.36

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    64.65
512                    73.93
1024                   90.57
2048                  118.83
4096                  176.89
8192                  298.45
16384                 570.20
32768                1055.12
65536                2321.91
131072               4721.21
262144               9684.22
524288              20024.90
1048576             40691.23
2097152             82267.18
