
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.77
2                       8.63
4                       8.69
8                       8.96
16                     10.39
32                     10.14
64                     12.08
128                    15.39
256                    21.17
512                    30.50
1024                   56.21
2048                  110.26

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.43
2                      11.73
4                      11.27
8                      11.14
16                     11.94
32                     12.80
64                     14.96
128                    17.52
256                    21.67
512                    30.54
1024                   56.51
2048                  110.63

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.62
2                      11.75
4                      11.99
8                      12.05
16                     12.59
32                     13.56
64                     16.23
128                    19.87
256                    22.35
512                    30.74
1024                   56.27
2048                  110.43

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.23
2                       9.77
4                       9.74
8                      10.03
16                     10.51
32                     11.21
64                     13.46
128                    15.99
256                    21.45
512                    30.56
1024                   56.25
2048                  110.37

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      12.76
2                      10.99
4                      11.13
8                      11.16
16                     11.45
32                     12.21
64                     14.82
128                    17.39
256                    22.09
512                    30.63
1024                   56.53
2048                  110.84

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.25
2                      11.19
4                      11.41
8                      11.61
16                     12.10
32                     13.09
64                     15.39
128                    17.58
256                    21.73
512                    30.57
1024                   55.86
2048                  109.37

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.07
2                      12.28
4                      11.94
8                      12.86
16                     12.68
32                     14.22
64                     17.01
128                    17.99
256                    21.83
512                    30.56
1024                   56.50
2048                  111.09

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.50
2                       9.21
4                       9.30
8                       9.42
16                      9.69
32                     10.79
64                     12.77
128                    15.58
256                    21.31
512                    30.47
1024                   56.16
2048                  110.30

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      12.69
2                      10.59
4                      11.09
8                      10.77
16                     11.30
32                     12.20
64                     14.21
128                    17.10
256                    21.52
512                    30.52
1024                   56.18
2048                  109.73

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.52
2                       9.34
4                       9.51
8                       9.66
16                     10.01
32                     11.12
64                     12.83
128                    15.79
256                    21.33
512                    30.58
1024                   56.62
2048                  110.18
