
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.25
2                      17.29
4                      17.45
8                      17.91
16                     18.52
32                     19.32
64                     21.09
128                    24.87
256                    30.17
512                    40.16
1024                   67.26
2048                  124.49

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.88
2                      18.51
4                      18.70
8                      18.89
16                     19.25
32                     20.78
64                     21.97
128                    25.21
256                    30.40
512                    40.43
1024                   66.79
2048                  124.19

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      23.25
2                      21.29
4                      21.33
8                      22.20
16                     22.10
32                     24.79
64                     24.48
128                    27.86
256                    31.06
512                    40.32
1024                   66.81
2048                  124.27

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.32
2                      17.81
4                      18.10
8                      18.45
16                     18.79
32                     19.91
64                     21.35
128                    25.35
256                    30.35
512                    39.90
1024                   67.18
2048                  124.19

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.25
2                      17.27
4                      17.38
8                      17.78
16                     18.20
32                     19.04
64                     20.83
128                    24.41
256                    30.08
512                    39.87
1024                   66.69
2048                  123.87

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.65
2                      17.63
4                      17.71
8                      17.92
16                     18.37
32                     19.16
64                     20.97
128                    24.88
256                    30.39
512                    40.25
1024                   66.84
2048                  124.61

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.78
2                      18.52
4                      18.39
8                      18.78
16                     19.26
32                     20.47
64                     22.09
128                    25.41
256                    30.45
512                    40.05
1024                   67.10
2048                  124.04

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.48
2                      17.39
4                      17.44
8                      17.75
16                     18.25
32                     19.22
64                     20.94
128                    24.54
256                    30.15
512                    39.95
1024                   67.24
2048                  123.86

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.75
2                      18.08
4                      18.31
8                      18.78
16                     19.10
32                     20.28
64                     21.58
128                    25.30
256                    30.52
512                    40.01
1024                   67.12
2048                  124.54

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.34
2                      17.30
4                      17.39
8                      17.76
16                     18.27
32                     19.58
64                     20.87
128                    24.47
256                    30.18
512                    40.03
1024                   66.94
2048                  124.02
