
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.44
2                      17.74
4                      17.63
8                      18.21
16                     18.35
32                     19.45
64                     20.90
128                    24.23
256                    28.41
512                    36.56
1024                   60.44
2048                  106.66

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.10
2                      16.82
4                      17.09
8                      17.14
16                     17.69
32                     18.58
64                     20.27
128                    23.47
256                    28.05
512                    36.52
1024                   59.55
2048                  106.30

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.59
2                      17.60
4                      17.72
8                      17.83
16                     18.34
32                     19.46
64                     20.71
128                    24.09
256                    28.42
512                    36.58
1024                   60.42
2048                  107.05

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.95
2                      16.71
4                      16.71
8                      17.02
16                     17.58
32                     18.47
64                     20.25
128                    23.39
256                    28.08
512                    36.91
1024                   60.47
2048                  106.93

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.22
2                      17.02
4                      17.00
8                      17.31
16                     17.81
32                     18.72
64                     20.42
128                    23.84
256                    28.11
512                    36.60
1024                   60.54
2048                  106.55

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.19
2                      17.01
4                      16.88
8                      17.16
16                     17.73
32                     18.62
64                     20.34
128                    23.51
256                    28.12
512                    36.63
1024                   60.62
2048                  107.75

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.70
2                      17.74
4                      17.74
8                      18.26
16                     18.53
32                     19.67
64                     21.12
128                    24.13
256                    28.63
512                    36.67
1024                   60.51
2048                  107.66

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.17
2                      16.91
4                      16.94
8                      17.14
16                     17.77
32                     18.63
64                     20.40
128                    23.58
256                    28.15
512                    36.74
1024                   60.41
2048                  107.30

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.22
2                      17.50
4                      17.49
8                      17.79
16                     18.21
32                     19.23
64                     20.74
128                    23.91
256                    28.34
512                    37.24
1024                   60.47
2048                  106.96

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.40
2                      17.09
4                      17.22
8                      17.23
16                     17.83
32                     18.81
64                     20.44
128                    23.80
256                    28.49
512                    36.67
1024                   60.63
2048                  106.97
