
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      43.60
2                      41.89
4                      43.09
8                      45.46
16                     41.70
32                     45.39
64                     47.57
128                    53.04
256                    61.15
512                    78.12
1024                  119.96
2048                  213.76

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      44.23
2                      41.91
4                      43.05
8                      45.36
16                     41.56
32                     44.86
64                     47.23
128                    53.00
256                    61.16
512                    78.04
1024                  119.43
2048                  213.34

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      41.10
2                      40.36
4                      41.20
8                      43.69
16                     40.03
32                     42.96
64                     46.05
128                    52.16
256                    60.79
512                    77.96
1024                  119.72
2048                  214.58

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      43.26
2                      41.67
4                      42.43
8                      45.06
16                     41.42
32                     44.40
64                     47.27
128                    52.87
256                    61.41
512                    78.07
1024                  119.53
2048                  213.95

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      41.50
2                      40.53
4                      41.41
8                      43.79
16                     40.23
32                     43.36
64                     46.13
128                    52.06
256                    60.84
512                    78.07
1024                  119.75
2048                  214.23

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      41.12
2                      40.39
4                      41.23
8                      43.51
16                     39.92
32                     42.97
64                     46.01
128                    51.87
256                    60.86
512                    79.65
1024                  119.72
2048                  214.33

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      41.25
2                      40.46
4                      41.29
8                      43.60
16                     40.10
32                     43.11
64                     46.15
128                    51.97
256                    60.86
512                    78.00
1024                  119.72
2048                  213.93

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.47
2                      41.26
4                      42.31
8                      44.62
16                     41.03
32                     44.12
64                     47.15
128                    52.63
256                    61.25
512                    78.11
1024                  120.31
2048                  214.79

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.69
2                      41.12
4                      42.28
8                      44.75
16                     40.84
32                     43.98
64                     47.12
128                    52.80
256                    61.09
512                    78.07
1024                  119.51
2048                  213.72

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.91
2                      41.65
4                      42.61
8                      44.72
16                     41.10
32                     44.43
64                     47.00
128                    52.77
256                    61.13
512                    78.31
1024                  119.32
2048                  213.81
