
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.34
2                      40.41
4                      41.20
8                      43.01
16                     41.02
32                     44.01
64                     47.91
128                    56.14
256                    76.94
512                   110.05
1024                  179.90
2048                  312.69

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.23
2                      40.28
4                      41.03
8                      42.87
16                     40.97
32                     43.94
64                     47.84
128                    56.09
256                    76.84
512                   110.06
1024                  179.77
2048                  312.04

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.24
2                      40.26
4                      41.00
8                      42.88
16                     40.93
32                     43.98
64                     47.85
128                    56.12
256                    76.93
512                   110.19
1024                  179.98
2048                  312.63

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.33
2                      40.30
4                      41.07
8                      42.87
16                     40.96
32                     43.99
64                     47.87
128                    56.15
256                    76.95
512                   110.01
1024                  179.72
2048                  312.14

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.19
2                      40.38
4                      41.10
8                      42.94
16                     41.01
32                     44.04
64                     47.87
128                    56.15
256                    76.87
512                   109.97
1024                  179.94
2048                  312.35

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.36
2                      40.37
4                      41.13
8                      42.97
16                     40.99
32                     43.98
64                     47.85
128                    56.17
256                    76.83
512                   109.98
1024                  179.96
2048                  311.85

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.18
2                      40.41
4                      41.09
8                      42.93
16                     41.05
32                     44.04
64                     47.93
128                    56.15
256                    76.97
512                   110.12
1024                  179.86
2048                  312.74

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.13
2                      40.31
4                      41.15
8                      42.96
16                     40.97
32                     44.00
64                     47.88
128                    56.21
256                    76.99
512                   110.16
1024                  179.77
2048                  312.31

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.22
2                      40.37
4                      41.09
8                      42.94
16                     41.04
32                     43.99
64                     47.90
128                    56.15
256                    76.89
512                   109.95
1024                  179.83
2048                  312.04

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.27
2                      40.37
4                      41.11
8                      42.98
16                     40.99
32                     44.10
64                     47.94
128                    56.17
256                    76.91
512                   110.16
1024                  179.73
2048                  312.39
