
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.69
2                      13.44
4                      13.88
8                      15.22
16                     16.79
32                     18.35
64                     21.73
128                    27.68
256                    45.24
512                    72.12
1024                  128.61
2048                  233.32

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.84
2                      13.48
4                      13.90
8                      15.27
16                     16.73
32                     18.38
64                     21.79
128                    27.75
256                    45.35
512                    72.17
1024                  128.57
2048                  233.35

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.72
2                      13.45
4                      13.91
8                      15.25
16                     16.77
32                     18.37
64                     21.77
128                    27.72
256                    45.23
512                    72.07
1024                  128.66
2048                  233.26

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.70
2                      13.44
4                      13.91
8                      15.18
16                     16.77
32                     18.36
64                     21.71
128                    27.67
256                    45.24
512                    72.24
1024                  128.29
2048                  233.53

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.72
2                      13.44
4                      13.94
8                      15.23
16                     16.75
32                     18.38
64                     21.78
128                    27.71
256                    45.31
512                    72.57
1024                  128.39
2048                  233.22

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.85
2                      13.40
4                      13.94
8                      15.21
16                     16.76
32                     18.35
64                     21.75
128                    27.72
256                    45.45
512                    72.16
1024                  128.46
2048                  233.00

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.71
2                      13.41
4                      13.91
8                      15.19
16                     16.75
32                     18.31
64                     21.74
128                    27.65
256                    45.29
512                    72.26
1024                  128.47
2048                  233.36

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.71
2                      13.40
4                      13.89
8                      15.19
16                     16.75
32                     18.31
64                     21.74
128                    27.64
256                    45.27
512                    72.20
1024                  128.40
2048                  232.87

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.66
2                      13.41
4                      13.88
8                      15.18
16                     16.78
32                     18.30
64                     21.73
128                    27.72
256                    45.41
512                    72.27
1024                  128.70
2048                  233.20

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.65
2                      13.42
4                      13.88
8                      15.20
16                     16.76
32                     18.32
64                     21.75
128                    27.65
256                    45.29
512                    72.02
1024                  128.29
2048                  233.45
