
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.37
2                     157.95
4                     159.32
8                     162.90
16                    157.74
32                    161.34
64                    165.25
128                   183.45
256                   198.75
512                   235.34
1024                  310.93
2048                  455.63

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.40
2                     158.10
4                     159.47
8                     163.00
16                    157.91
32                    161.54
64                    165.39
128                   183.89
256                   198.78
512                   235.08
1024                  309.93
2048                  454.56

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.16
2                     157.85
4                     159.18
8                     162.77
16                    157.69
32                    161.38
64                    165.19
128                   183.64
256                   198.49
512                   235.28
1024                  310.75
2048                  455.27

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.36
2                     157.94
4                     159.62
8                     163.00
16                    157.72
32                    161.41
64                    165.32
128                   183.86
256                   198.71
512                   234.80
1024                  310.12
2048                  454.95

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.20
2                     157.83
4                     159.28
8                     162.85
16                    157.60
32                    161.32
64                    165.21
128                   185.19
256                   198.82
512                   235.35
1024                  310.77
2048                  456.55

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.33
2                     157.95
4                     159.26
8                     162.90
16                    157.70
32                    161.37
64                    165.28
128                   184.55
256                   198.68
512                   235.09
1024                  310.97
2048                  456.01

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.34
2                     158.03
4                     159.36
8                     162.98
16                    157.78
32                    161.50
64                    165.42
128                   182.46
256                   198.79
512                   235.26
1024                  311.13
2048                  456.27

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.31
2                     157.99
4                     159.38
8                     162.95
16                    157.86
32                    161.51
64                    165.32
128                   184.66
256                   198.55
512                   235.18
1024                  310.51
2048                  456.46

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.21
2                     157.97
4                     159.31
8                     162.77
16                    157.63
32                    161.36
64                    165.30
128                   185.34
256                   198.87
512                   235.23
1024                  311.12
2048                  456.27

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.39
2                     158.02
4                     159.38
8                     162.95
16                    157.82
32                    161.44
64                    165.44
128                   183.64
256                   198.94
512                   235.37
1024                  310.52
2048                  454.82
