
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.21
2                      40.83
4                      41.53
8                      43.38
16                     41.43
32                     44.47
64                     48.49
128                    56.98
256                    78.61
512                   113.67
1024                  188.52
2048                  330.32

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.19
2                      40.81
4                      41.63
8                      43.40
16                     41.49
32                     44.50
64                     48.50
128                    56.93
256                    78.70
512                   113.64
1024                  188.52
2048                  330.34

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.13
2                      40.78
4                      41.58
8                      43.35
16                     41.49
32                     44.46
64                     48.49
128                    56.92
256                    78.44
512                   113.59
1024                  188.58
2048                  330.33

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.11
2                      40.78
4                      41.54
8                      43.34
16                     41.44
32                     44.47
64                     48.46
128                    57.03
256                    78.65
512                   113.67
1024                  188.35
2048                  330.39

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.15
2                      40.82
4                      41.55
8                      43.35
16                     41.46
32                     44.48
64                     48.50
128                    56.97
256                    78.62
512                   113.60
1024                  188.20
2048                  330.01

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.13
2                      40.79
4                      41.55
8                      43.36
16                     41.45
32                     44.45
64                     48.46
128                    56.91
256                    78.52
512                   113.56
1024                  188.12
2048                  329.88

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.18
2                      40.82
4                      41.57
8                      43.38
16                     41.49
32                     44.55
64                     48.49
128                    56.99
256                    78.54
512                   113.57
1024                  188.54
2048                  330.66

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.24
2                      40.79
4                      41.53
8                      43.37
16                     41.46
32                     44.63
64                     48.54
128                    57.04
256                    78.64
512                   113.67
1024                  188.71
2048                  330.55

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.15
2                      40.83
4                      41.65
8                      43.41
16                     41.50
32                     44.50
64                     48.50
128                    56.92
256                    78.57
512                   113.62
1024                  188.54
2048                  330.23

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.20
2                      40.78
4                      41.62
8                      43.39
16                     41.47
32                     44.46
64                     48.47
128                    56.94
256                    78.68
512                   113.59
1024                  188.12
2048                  330.47
