
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.74
2                      40.83
4                      42.02
8                      44.42
16                     40.69
32                     43.84
64                     46.24
128                    51.58
256                    58.99
512                    74.34
1024                  114.51
2048                  192.11

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.03
2                      40.46
4                      41.21
8                      43.98
16                     40.10
32                     43.26
64                     45.93
128                    51.77
256                    58.92
512                    74.62
1024                  115.73
2048                  192.51

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.69
2                      41.35
4                      42.14
8                      44.46
16                     40.79
32                     44.19
64                     46.20
128                    51.62
256                    59.03
512                    74.31
1024                  114.05
2048                  191.75

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.57
2                      41.00
4                      41.97
8                      44.07
16                     40.51
32                     43.66
64                     46.21
128                    51.41
256                    59.05
512                    74.51
1024                  114.80
2048                  192.34

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      40.99
2                      39.91
4                      40.84
8                      43.21
16                     39.90
32                     42.64
64                     45.36
128                    50.85
256                    58.79
512                    74.27
1024                  114.66
2048                  192.22

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.04
2                      41.05
4                      42.13
8                      44.10
16                     40.33
32                     43.47
64                     46.06
128                    51.58
256                    59.29
512                    74.44
1024                  114.66
2048                  192.25

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      40.86
2                      39.77
4                      40.75
8                      43.00
16                     39.53
32                     42.48
64                     45.17
128                    50.75
256                    58.71
512                    74.19
1024                  114.61
2048                  192.28

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.21
2                      40.64
4                      41.86
8                      44.24
16                     40.25
32                     43.97
64                     46.12
128                    51.54
256                    59.02
512                    74.55
1024                  114.61
2048                  192.28

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.26
2                      40.63
4                      41.66
8                      44.10
16                     40.20
32                     43.55
64                     45.77
128                    51.57
256                    58.95
512                    74.38
1024                  114.67
2048                  192.45

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.26
2                      40.70
4                      41.55
8                      43.88
16                     40.08
32                     43.34
64                     45.88
128                    51.29
256                    58.88
512                    74.63
1024                  114.34
2048                  191.98
