
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.24
2                       4.77
4                       4.83
8                       5.10
16                      5.13
32                      5.37
64                      5.90
128                     7.00
256                    10.93
512                    10.93
1024                   14.99
2048                   22.92
4096                   49.19
8192                   77.00
16384                 297.81
32768                 411.23
65536                 709.41
131072               1627.27
262144               3595.76
524288               7326.20
1048576             14883.15

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.32
2                       4.59
4                       4.78
8                       5.06
16                      5.13
32                      5.40
64                      5.87
128                     6.97
256                    10.85
512                    10.93
1024                   15.04
2048                   22.96
4096                   49.04
8192                   77.16
16384                 297.99
32768                 411.52
65536                 718.45
131072               1609.14
262144               3651.18
524288               7290.41
1048576             15037.52

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.12
2                       4.61
4                       4.80
8                       5.06
16                      5.10
32                      5.40
64                      5.90
128                     6.94
256                    10.84
512                    10.94
1024                   14.97
2048                   22.95
4096                   48.91
8192                   77.28
16384                 296.46
32768                 413.78
65536                 709.26
131072               1624.40
262144               3668.51
524288               7254.91
1048576             14839.45

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.25
2                       4.60
4                       4.79
8                       5.05
16                      5.12
32                      5.40
64                      5.92
128                     6.99
256                    10.88
512                    11.08
1024                   15.10
2048                   23.01
4096                   49.46
8192                   78.18
16384                 299.78
32768                 412.48
65536                 716.52
131072               1631.81
262144               3656.22
524288               7314.42
1048576             14872.57

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.14
2                       4.77
4                       4.90
8                       5.20
16                      5.23
32                      5.54
64                      6.00
128                     7.05
256                    10.93
512                    11.09
1024                   15.21
2048                   23.37
4096                   50.22
8192                   78.44
16384                 299.34
32768                 414.41
65536                 710.22
131072               1647.98
262144               3725.32
524288               7282.88
1048576             14998.14

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.17
2                       4.60
4                       4.91
8                       5.04
16                      5.11
32                      5.38
64                      5.89
128                     6.94
256                    10.84
512                    10.89
1024                   14.90
2048                   22.93
4096                   48.84
8192                   76.92
16384                 299.35
32768                 411.51
65536                 711.24
131072               1636.28
262144               3655.45
524288               7348.09
1048576             14939.12

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.96
2                       4.58
4                       4.78
8                       5.04
16                      5.09
32                      5.37
64                      5.89
128                     6.94
256                    10.81
512                    10.89
1024                   15.03
2048                   22.92
4096                   48.92
8192                   77.17
16384                 297.78
32768                 413.90
65536                 709.48
131072               1629.55
262144               3635.33
524288               7334.56
1048576             14846.54

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.18
2                       4.71
4                       4.91
8                       5.18
16                      5.16
32                      5.42
64                      5.95
128                     6.99
256                    10.91
512                    11.14
1024                   15.11
2048                   23.19
4096                   49.49
8192                   78.51
16384                 299.28
32768                 413.32
65536                 711.56
131072               1626.49
262144               3671.71
524288               7435.13
1048576             14862.64

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.18
2                       4.68
4                       4.86
8                       5.16
16                      5.21
32                      5.46
64                      5.98
128                     6.99
256                    10.88
512                    11.02
1024                   15.08
2048                   23.16
4096                   49.57
8192                   78.70
16384                 299.80
32768                 416.79
65536                 714.67
131072               1642.11
262144               3597.93
524288               7350.58
1048576             14949.47

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.13
2                       4.70
4                       4.87
8                       5.19
16                      5.19
32                      5.45
64                      5.96
128                     6.95
256                    10.84
512                    10.95
1024                   14.93
2048                   22.94
4096                   48.98
8192                   77.25
16384                 296.80
32768                 413.47
65536                 711.72
131072               1622.48
262144               3686.39
524288               7283.04
1048576             15076.68

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       5.24
2                       4.58
4                       4.76
8                       5.04
16                      5.14
32                      5.41
64                      5.91
128                     6.95
256                    10.92
512                    10.92
1024                   14.96
2048                   22.94
4096                   49.26
8192                   77.19
16384                 298.02
32768                 412.55
65536                 709.68
131072               1633.98
262144               3620.97
524288               7287.16
1048576             14712.37
