
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.91
2                       6.23
4                       6.18
8                       6.28
16                      6.54
32                      7.02
64                      7.73
128                     9.64
256                    12.43
512                    16.71
1024                   24.56
2048                  238.66
4096                  401.26
8192                  743.93
16384                1658.78
32768                2775.00
65536                5444.35
131072              10792.32
262144              21541.72
524288              43085.02
1048576             86218.18

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.96
2                       6.19
4                       6.18
8                       6.33
16                      6.62
32                      7.04
64                      8.12
128                     9.88
256                    12.62
512                    16.91
1024                   24.54
2048                  239.33
4096                  401.90
8192                  743.70
16384                1642.24
32768                2771.87
65536                5439.59
131072              10790.62
262144              21542.59
524288              43093.21
1048576             86212.99

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.96
2                       6.17
4                       6.19
8                       6.30
16                      6.58
32                      6.96
64                      7.76
128                     9.65
256                    12.45
512                    16.85
1024                   24.60
2048                  238.80
4096                  402.00
8192                  758.61
16384                1613.08
32768                2772.38
65536                5441.07
131072              10789.57
262144              21550.30
524288              43091.08
1048576             86211.63

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.97
2                       6.18
4                       6.18
8                       6.43
16                      6.57
32                      7.07
64                      7.83
128                     9.66
256                    12.50
512                    16.82
1024                   24.52
2048                  241.11
4096                  402.31
8192                  748.75
16384                1593.81
32768                2767.37
65536                5441.87
131072              10791.84
262144              21560.17
524288              43108.09
1048576             86231.34

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.81
2                       6.01
4                       6.03
8                       6.17
16                      6.45
32                      6.85
64                      7.66
128                     9.53
256                    12.40
512                    16.79
1024                   24.61
2048                  240.00
4096                  402.31
8192                  750.14
16384                1602.55
32768                2770.07
65536                5439.69
131072              10791.75
262144              21550.10
524288              43086.82
1048576             86198.50

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.90
2                       6.11
4                       6.23
8                       6.29
16                      6.56
32                      6.97
64                      7.82
128                     9.68
256                    12.50
512                    16.81
1024                   24.65
2048                  238.68
4096                  401.75
8192                  748.29
16384                1605.09
32768                2770.55
65536                5444.10
131072              10794.02
262144              21544.87
524288              43084.07
1048576             86202.57

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.69
2                       5.99
4                       6.01
8                       6.15
16                      6.47
32                      6.90
64                      7.64
128                     9.54
256                    12.44
512                    16.81
1024                   24.50
2048                  238.90
4096                  401.03
8192                  746.88
16384                1611.60
32768                2767.61
65536                5441.95
131072              10791.25
262144              21553.31
524288              43100.49
1048576             86234.45

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.99
2                       6.22
4                       6.21
8                       6.31
16                      6.57
32                      7.00
64                      7.72
128                     9.64
256                    12.49
512                    16.75
1024                   24.56
2048                  240.38
4096                  404.96
8192                  754.51
16384                1614.77
32768                2766.29
65536                5442.53
131072              10790.52
262144              21555.57
524288              43101.92
1048576             86237.76

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.96
2                       6.23
4                       6.22
8                       6.29
16                      6.56
32                      6.95
64                      7.80
128                     9.63
256                    12.47
512                    16.73
1024                   24.59
2048                  240.68
4096                  404.90
8192                  750.40
16384                1607.82
32768                2767.90
65536                5445.00
131072              10793.48
262144              21551.96
524288              43101.83
1048576             86231.75

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.72
2                       6.03
4                       6.06
8                       6.16
16                      6.44
32                      6.86
64                      7.67
128                     9.52
256                    12.51
512                    16.74
1024                   24.66
2048                  241.23
4096                  402.85
8192                  747.51
16384                1614.19
32768                2771.75
65536                5443.27
131072              10793.82
262144              21549.33
524288              43092.52
1048576             86203.05

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.86
2                       6.18
4                       6.18
8                       6.24
16                      6.59
32                      7.05
64                      7.82
128                     9.66
256                    12.52
512                    16.72
1024                   24.65
2048                  240.48
4096                  403.29
8192                  751.09
16384                1619.53
32768                2768.33
65536                5439.99
131072              10789.26
262144              21546.76
524288              43087.90
1048576             86206.07
