
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.55
2                      14.03
4                      14.12
8                      14.37
16                     14.29
32                     14.38
64                     14.86
128                    15.61
256                    19.67
512                    22.65
1024                   26.35
2048                   34.54
4096                   54.60
8192                   83.75
16384                 150.68
32768                 284.64
65536                 540.91
131072               1209.01
262144               2580.11
524288               5180.58
1048576             10662.92

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.63
2                      14.10
4                      14.25
8                      14.46
16                     14.73
32                     14.74
64                     15.13
128                    15.93
256                    19.90
512                    22.62
1024                   26.71
2048                   35.05
4096                   55.65
8192                   85.81
16384                 153.19
32768                 271.51
65536                 532.46
131072               1197.38
262144               2585.78
524288               5164.81
1048576             10648.01

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.77
2                      14.23
4                      14.28
8                      14.55
16                     14.88
32                     14.84
64                     15.22
128                    16.13
256                    19.87
512                    22.56
1024                   26.75
2048                   35.07
4096                   55.56
8192                   85.50
16384                 153.50
32768                 270.87
65536                 530.01
131072               1191.88
262144               2551.87
524288               5149.77
1048576             10649.12

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.44
2                      13.71
4                      13.75
8                      14.18
16                     14.37
32                     14.40
64                     14.78
128                    15.62
256                    19.60
512                    22.21
1024                   26.25
2048                   34.32
4096                   54.18
8192                   83.91
16384                 150.47
32768                 270.60
65536                 524.11
131072               1190.26
262144               2558.64
524288               5155.37
1048576             10658.77

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.55
2                      13.69
4                      13.72
8                      14.03
16                     14.28
32                     14.34
64                     14.75
128                    15.52
256                    19.50
512                    22.13
1024                   26.18
2048                   34.26
4096                   54.18
8192                   82.74
16384                 149.36
32768                 265.27
65536                 519.93
131072               1186.64
262144               2552.09
524288               5151.24
1048576             10654.99

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.43
2                      13.88
4                      13.78
8                      14.13
16                     14.47
32                     14.56
64                     14.88
128                    15.79
256                    19.83
512                    22.25
1024                   26.23
2048                   34.43
4096                   54.19
8192                   83.21
16384                 150.35
32768                 265.81
65536                 522.16
131072               1185.28
262144               2556.51
524288               5149.98
1048576             10645.13

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.72
2                      14.11
4                      14.17
8                      14.44
16                     14.81
32                     14.85
64                     15.13
128                    15.94
256                    19.80
512                    22.51
1024                   26.76
2048                   34.94
4096                   55.18
8192                   85.27
16384                 153.04
32768                 286.06
65536                 553.86
131072               1219.05
262144               2592.39
524288               5184.61
1048576             10684.40

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.38
2                      13.72
4                      13.74
8                      14.02
16                     14.31
32                     14.39
64                     14.81
128                    15.76
256                    19.68
512                    22.25
1024                   26.23
2048                   34.31
4096                   54.39
8192                   83.31
16384                 149.37
32768                 266.53
65536                 523.02
131072               1186.76
262144               2554.65
524288               5145.62
1048576             10653.52

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.31
2                      13.70
4                      13.76
8                      14.03
16                     14.27
32                     14.41
64                     14.72
128                    15.50
256                    19.57
512                    22.17
1024                   26.19
2048                   34.29
4096                   54.16
8192                   82.97
16384                 150.08
32768                 265.39
65536                 522.36
131072               1188.91
262144               2545.92
524288               5149.38
1048576             10664.01

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.67
2                      14.08
4                      14.14
8                      14.39
16                     14.68
32                     14.75
64                     15.09
128                    15.96
256                    19.72
512                    22.45
1024                   26.51
2048                   34.93
4096                   54.91
8192                   84.45
16384                 151.60
32768                 267.87
65536                 526.71
131072               1190.73
262144               2559.35
524288               5163.83
1048576             10683.03

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.76
2                      14.25
4                      14.32
8                      14.60
16                     15.44
32                     14.92
64                     15.26
128                    16.00
256                    19.90
512                    22.68
1024                   26.79
2048                   35.04
4096                   55.96
8192                   84.84
16384                 151.42
32768                 272.45
65536                 524.51
131072               1192.60
262144               2558.84
524288               5158.49
1048576             10659.60
