
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.02
2                      29.71
4                      29.81
8                      30.11
16                     31.07
32                     30.67
64                     31.19
128                    32.55
256                    40.01
512                    45.07
1024                   54.82
2048                   75.37
4096                  125.09
8192                  200.32
16384                 354.96
32768                 809.42
65536                1857.69
131072               3589.75
262144               7585.55
524288              15931.04
1048576             32161.18

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.99
2                      29.71
4                      29.84
8                      30.15
16                     31.10
32                     30.64
64                     31.23
128                    32.55
256                    39.99
512                    44.96
1024                   54.84
2048                   75.42
4096                  123.99
8192                  200.35
16384                 353.95
32768                 804.53
65536                1865.67
131072               3596.41
262144               7588.71
524288              15941.54
1048576             32172.20

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.93
2                      29.60
4                      29.70
8                      30.04
16                     30.92
32                     30.63
64                     31.18
128                    32.50
256                    40.02
512                    45.03
1024                   54.84
2048                   75.22
4096                  124.24
8192                  200.06
16384                 351.73
32768                 794.76
65536                1859.59
131072               3595.43
262144               7588.51
524288              15962.78
1048576             32172.59

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.98
2                      29.74
4                      29.95
8                      30.28
16                     31.02
32                     30.68
64                     31.53
128                    32.59
256                    39.96
512                    45.10
1024                   54.75
2048                   75.40
4096                  124.21
8192                  200.23
16384                 358.14
32768                 813.69
65536                1869.13
131072               3602.78
262144               7585.07
524288              15945.59
1048576             32183.37

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.06
2                      29.73
4                      29.88
8                      30.15
16                     31.05
32                     30.63
64                     31.23
128                    32.61
256                    40.08
512                    45.04
1024                   54.89
2048                   75.48
4096                  124.02
8192                  200.70
16384                 354.23
32768                 795.97
65536                1853.48
131072               3584.50
262144               7584.25
524288              15940.08
1048576             32176.24

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.05
2                      29.71
4                      29.82
8                      30.20
16                     31.09
32                     30.72
64                     31.25
128                    32.50
256                    40.07
512                    45.09
1024                   54.77
2048                   75.17
4096                  123.75
8192                  200.32
16384                 354.30
32768                 795.86
65536                1881.20
131072               3612.98
262144               7570.80
524288              15955.23
1048576             32176.96

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.94
2                      29.69
4                      29.84
8                      30.15
16                     31.01
32                     30.66
64                     31.18
128                    32.48
256                    40.01
512                    45.17
1024                   54.72
2048                   75.22
4096                  124.22
8192                  200.13
16384                 352.99
32768                 785.83
65536                1821.01
131072               3548.09
262144               7533.11
524288              15933.26
1048576             32191.42

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.05
2                      29.78
4                      29.78
8                      30.22
16                     30.96
32                     30.65
64                     31.25
128                    32.56
256                    39.97
512                    44.93
1024                   54.79
2048                   75.14
4096                  124.88
8192                  199.72
16384                 352.80
32768                 820.77
65536                1859.26
131072               3594.81
262144               7579.13
524288              15936.01
1048576             32158.71

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.89
2                      29.72
4                      29.75
8                      30.11
16                     30.96
32                     30.60
64                     31.22
128                    32.47
256                    39.97
512                    44.92
1024                   54.95
2048                   75.26
4096                  124.35
8192                  199.82
16384                 351.76
32768                 808.87
65536                1861.15
131072               3589.12
262144               7568.07
524288              15926.10
1048576             32189.42

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.33
2                      29.81
4                      30.18
8                      30.19
16                     31.22
32                     31.01
64                     31.25
128                    32.55
256                    40.25
512                    45.08
1024                   54.69
2048                   75.54
4096                  123.52
8192                  199.22
16384                 353.34
32768                 804.88
65536                1869.99
131072               3596.60
262144               7562.60
524288              15942.56
1048576             32172.15

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.04
2                      29.72
4                      29.85
8                      30.32
16                     31.10
32                     30.72
64                     31.36
128                    32.58
256                    40.10
512                    44.98
1024                   55.54
2048                   75.21
4096                  123.81
8192                  200.09
16384                 355.44
32768                 799.37
65536                1864.08
131072               3593.83
262144               7550.24
524288              15942.07
1048576             32181.67
