
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.79
2                       2.89
4                       2.90
8                       3.01
16                      3.47
32                      3.68
64                      3.58
128                     3.98
256                     4.81
512                     6.53
1024                   10.35
2048                   20.02
4096                   37.51
8192                   65.62
16384                  89.10
32768                 168.97
65536                 445.73
131072                890.98
262144               2219.33
524288               4545.52
1048576              9208.38

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.20
2                       3.96
4                       3.89
8                       3.80
16                      4.22
32                      4.54
64                      4.09
128                     4.41
256                     5.12
512                     6.69
1024                   10.33
2048                   19.81
4096                   37.23
8192                   67.05
16384                  87.73
32768                 169.10
65536                 446.60
131072                890.23
262144               2330.79
524288               4599.83
1048576              9329.43

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.27
2                       3.99
4                       3.93
8                       3.84
16                      4.22
32                      4.35
64                      4.02
128                     4.39
256                     5.14
512                     6.75
1024                   10.53
2048                   19.90
4096                   37.26
8192                   66.92
16384                  86.39
32768                 166.23
65536                 448.65
131072                888.82
262144               2297.24
524288               4535.17
1048576              9267.43

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.30
2                       4.07
4                       3.89
8                       3.90
16                      4.28
32                      4.37
64                      4.16
128                     4.43
256                     5.18
512                     6.81
1024                   10.51
2048                   19.83
4096                   37.26
8192                   66.06
16384                  87.81
32768                 169.08
65536                 437.79
131072                884.30
262144               2238.63
524288               4558.92
1048576              9408.44

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.32
2                       3.96
4                       3.86
8                       3.85
16                      4.26
32                      4.40
64                      4.13
128                     4.42
256                     5.15
512                     6.74
1024                   10.37
2048                   19.55
4096                   36.58
8192                   65.73
16384                  87.83
32768                 168.02
65536                 442.71
131072                910.67
262144               2270.67
524288               4480.51
1048576              9054.83

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.65
2                       4.05
4                       3.91
8                       3.90
16                      4.40
32                      4.48
64                      4.12
128                     4.53
256                     5.22
512                     6.81
1024                   10.41
2048                   19.74
4096                   36.98
8192                   68.94
16384                  86.77
32768                 166.21
65536                 445.31
131072                889.39
262144               2289.99
524288               4579.38
1048576              9196.99

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.24
2                       4.03
4                       3.93
8                       3.90
16                      4.30
32                      4.46
64                      4.17
128                     4.56
256                     5.25
512                     6.81
1024                   10.34
2048                   19.62
4096                   36.83
8192                   68.41
16384                  87.80
32768                 169.40
65536                 442.89
131072                890.33
262144               2273.24
524288               4551.81
1048576              9257.65

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.31
2                       4.05
4                       3.92
8                       3.87
16                      4.34
32                      4.36
64                      4.12
128                     4.46
256                     5.16
