
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.37
2                       1.28
4                       1.29
8                       1.38
16                      1.39
32                      1.42
64                      1.43
128                     1.56
256                     1.65
512                     1.84
1024                    2.25
2048                    3.14
4096                    5.07
8192                    7.96
16384                  15.70
32768                  32.34
65536                  52.16
131072                109.46
262144                246.92
524288                492.04
1048576              1063.14

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.34
2                       1.28
4                       1.29
8                       1.38
16                      1.39
32                      1.44
64                      1.46
128                     1.62
256                     1.69
512                     1.88
1024                    2.28
2048                    3.13
4096                    4.72
8192                    8.06
16384                  15.62
32768                  33.25
65536                  58.67
131072                116.73
262144                209.91
524288                472.84
1048576              1082.85

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.42
2                       1.32
4                       1.32
8                       1.38
16                      1.41
32                      1.48
64                      1.45
128                     1.58
256                     1.70
512                     1.90
1024                    2.31
2048                    3.13
4096                    4.82
8192                    8.08
16384                  15.63
32768                  32.55
65536                  66.74
131072                125.94
262144                233.58
524288                441.57
1048576               991.66

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.35
2                       1.28
4                       1.30
8                       1.35
16                      1.38
32                      1.43
64                      1.44
128                     1.52
256                     1.63
512                     1.85
1024                    2.25
2048                    3.03
4096                    4.69
8192                    7.76
16384                  15.60
32768                  31.93
65536                  69.36
131072                133.01
262144                246.02
524288                439.31
1048576               995.88

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.48
2                       1.33
4                       1.31
8                       1.41
16                      1.46
32                      1.52
64                      1.51
128                     1.59
256                     1.77
512                     1.98
1024                    2.33
2048                    3.17
4096                    4.95
8192                    8.24
16384                  15.64
32768                  32.72
65536                  67.57
131072                128.22
262144                246.89
524288                448.83
1048576               994.21

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.35
2                       1.29
4                       1.31
8                       1.36
16                      1.37
32                      1.44
64                      1.42
128                     1.52
256                     1.64
512                     1.80
1024                    2.21
2048                    3.10
4096                    4.70
8192                    7.88
16384                  15.57
32768                  32.27
65536                  66.90
131072                132.50
262144                247.65
524288                462.83
1048576              1001.99

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.34
2                       1.26
4                       1.25
8                       1.34
16                      1.40
32                      1.45
64                      1.44
128                     1.56
256                     1.68
512                     1.87
1024                    2.24
2048                    3.06
4096                    4.68
8192                    7.96
16384                  15.44
32768                  32.53
65536                  69.89
131072                131.31
262144                243.83
524288                452.59
1048576               991.45

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.32
2                       1.26
4                       1.27
8                       1.36
16                      1.35
32                      1.40
64                      1.42
128                     1.56
256                     1.68
512                     1.86
1024                    2.26
2048                    3.11
4096                    4.68
8192                    7.92
16384                  15.30
32768                  32.32
65536                  67.14
131072                127.83
262144                235.62
524288                435.84
1048576              1029.83

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       1.35
2                       1.28
4                       1.27
8                       1.33
16                      1.40
32                      1.44
64                      1.42
128                     1.50
256                     1.65
512                     1.85
1024                    2.25
2048                    3.01
4096                    4.72
8192                    7.90
16384                  15.46
32768                  32.62
