
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.39
2                      21.97
4                      21.78
8                      22.05
16                     22.29
32                     22.68
64                     23.18
128                    24.91
256                    27.18
512                    29.82
1024                   34.45
2048                   44.73
4096                   63.46
8192                  100.11
16384                 435.20
32768                 616.24
65536                1255.24
131072               2538.74
262144               4904.32
524288               9457.84
1048576             19153.20

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      23.54
2                      21.37
4                      21.14
8                      21.52
16                     21.56
32                     21.94
64                     22.66
128                    24.23
256                    26.35
512                    29.13
1024                   34.61
2048                   44.61
4096                   63.06
8192                   99.42
16384                 411.02
32768                 617.70
65536                1225.45
131072               2583.44
262144               4907.40
524288               9525.28
1048576             18846.53

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      23.60
2                      21.46
4                      21.32
8                      21.63
16                     21.86
32                     22.11
64                     22.66
128                    24.30
256                    26.31
512                    29.11
1024                   34.52
2048                   44.46
4096                   63.28
8192                   99.69
16384                 411.55
32768                 615.90
65536                1256.66
131072               2604.91
262144               4895.20
524288               9538.58
1048576             18878.86

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      21.38
2                      20.95
4                      21.05
8                      21.43
16                     21.58
32                     22.13
64                     22.56
128                    24.09
256                    26.29
512                    30.77
1024                   34.77
2048                   44.42
4096                   62.75
8192                   97.08
16384                 404.16
32768                 617.45
65536                1214.83
131072               2553.93
262144               4862.03
524288               9392.94
1048576             18822.53

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.59
2                      21.82
4                      21.41
8                      21.69
16                     21.79
32                     22.15
64                     22.81
128                    24.41
256                    26.35
512                    29.02
1024                   34.72
2048                   44.35
4096                   63.21
8192                   99.63
16384                 414.12
32768                 623.39
65536                1252.40
131072               2587.79
262144               4819.91
524288               9510.80
1048576             18773.74

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      23.96
2                      21.45
4                      21.13
8                      21.44
16                     21.90
32                     21.96
64                     22.52
128                    24.24
256                    26.40
512                    29.24
1024                   34.67
2048                   44.60
4096                   63.64
8192                   99.56
16384                 411.79
32768                 621.25
65536                1239.46
131072               2616.57
262144               4883.03
524288               9524.94
1048576             18874.48

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      23.88
2                      21.66
4                      21.51
8                      21.65
16                     21.86
32                     22.22
64                     22.89
128                    24.54
256                    26.78
512                    29.54
1024                   35.16
2048                   44.81
4096                   63.19
8192                   99.79
16384                 412.11
32768                 617.64
65536                1247.74
131072               2550.39
262144               4925.75
524288               9550.94
1048576             18883.07

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      23.72
2                      21.48
4                      21.28
8                      21.74
16                     21.74
32                     22.07
64                     22.77
128                    24.38
256                    26.66
512                    29.38
1024                   34.53
2048                   44.43
4096                   63.44
8192                  103.10
16384                 403.64
32768                 618.89
65536                1232.17
131072               2568.22
262144               4901.75
524288               9446.55
1048576             19053.88

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      23.77
2                      21.59
4                      21.30
8                      21.49
16                     21.75
32                     22.09
64                     22.78
128                    24.51
256                    26.83
512                    29.58
1024                   34.95
2048                   44.58
4096                   63.42
8192                  100.20
16384                 403.82
32768                 618.23
65536                1234.45
131072               2585.57
262144               4887.30
524288               9475.67
1048576             18745.70

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.37
2                      21.73
4                      21.76
8                      21.85
16                     22.09
32                     22.58
64                     23.04
128                    24.92
256                    27.49
512                    29.15
1024                   34.53
2048                   44.67
4096                   63.53
8192                   99.58
16384                 406.64
32768                 618.48
65536                1271.89
131072               2544.26
262144               4913.85
524288               9532.15
1048576             18908.68

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      24.14
2                      21.60
4                      21.32
8                      21.56
16                     21.82
32                     22.14
64                     22.79
128                    24.45
256                    26.80
512                    29.04
1024                   34.56
2048                   44.47
4096                   63.35
8192                  101.55
16384                 413.75
32768                 621.11
65536                1240.09
131072               2565.53
262144               4820.09
524288               9483.36
1048576             19138.51
