
		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.38
2                       6.92
4                       6.61
8                       6.31
16                      5.59
32                      5.56
64                      5.51
128                     5.65
256                     5.99
512                     6.59
1024                    7.96
2048                   10.70
4096                   16.40
8192                   36.66
16384                  64.40
32768                 124.59
65536                 252.60
131072                481.37
262144                849.99
524288               1552.72
1048576              2788.78

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.63
2                       7.16
4                       6.82
8                       6.55
16                      5.80
32                      5.69
64                      5.88
128                     7.48
256                     7.55
512                     8.18
1024                    9.56
2048                   12.29
4096                   20.09
8192                   32.33
16384                  53.33
32768                 111.17
65536                 216.30
131072                481.00
262144                925.18
524288               1720.85
1048576              2986.99

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.54
2                       7.11
4                       6.76
8                       6.49
16                      5.71
32                      5.61
64                      5.64
128                     8.09
256                     8.10
512                     8.65
1024                   10.52
2048                   13.14
4096                   20.91
8192                   31.91
16384                  56.78
32768                 113.54
65536                 216.85
131072                483.83
262144                928.28
524288               1725.05
1048576              3058.82

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.51
2                       7.06
4                       6.71
8                       6.44
16                      5.68
32                      5.63
64                      5.59
128                     5.69
256                     6.26
512                     8.36
1024                   10.00
2048                   12.81
4096                   20.05
8192                   34.11
16384                  58.80
32768                 117.40
65536                 222.37
131072                449.78
262144                858.95
524288               1583.41
1048576              2674.34

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.42
2                       7.01
4                       6.61
8                       6.36
16                      5.63
32                      5.58
64                      5.56
128                     7.51
256                     7.68
512                     8.18
1024                    9.75
2048                   12.54
4096                   22.48
8192                   33.35
16384                  55.45
32768                 112.79
65536                 216.09
131072                481.72
262144                921.75
524288               1703.65
1048576              3047.35

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.46
2                       6.93
4                       6.65
8                       6.35
16                      5.61
32                      5.54
64                      5.52
128                     7.52
256                     7.63
512                     8.20
1024                    9.71
2048                   12.42
4096                   19.55
8192                   33.11
16384                  56.79
32768                 114.40
65536                 216.03
131072                484.28
262144                927.41
524288               1718.99
1048576              3066.50

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.62
2                       7.17
4                       6.71
8                       6.46
16                      5.69
32                      5.61
64                      5.62
128                     8.15
256                     8.62
512                     9.38
1024                   10.24
2048                   13.06
4096                   19.08
8192                   34.52
16384                  58.38
32768                 116.69
65536                 220.02
131072                437.66
262144                833.01
524288               1579.63
1048576              2697.25

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.75
2                       7.12
4                       6.77
8                       6.50
16                      5.73
32                      6.60
64                      6.90
128                     6.82
256                     7.12
512                     8.10
1024                    9.36
2048                   13.95
4096                   21.23
8192                   31.78
16384                  55.55
32768                 111.95
65536                 220.72
131072                444.34
262144                850.20
524288               1549.48
1048576              2659.16

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.51
2                       7.09
4                       6.77
8                       6.46
16                      5.67
32                      6.63
64                      7.60
128                     7.35
256                     7.64
512                     8.50
1024                   10.11
2048                   14.02
4096                   19.75
8192                   31.56
16384                  55.07
32768                 111.43
65536                 215.76
131072                484.61
262144                926.21
524288               1718.42
1048576              3049.43

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.83
2                       7.26
4                       6.90
8                       7.19
16                      6.33
32                      6.43
64                      6.41
128                     6.44
256                     6.95
512                     7.92
1024                   10.33
2048                   13.52
4096                   19.65
8192                   30.36
16384                  54.64
32768                 112.24
65536                 220.57
131072                443.85
262144                848.20
524288               1581.16
1048576              2645.25
