
		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1              7.62
2              7.63
4              7.46
8              7.58
16              6.89
32              7.05
64              7.44
128              7.60
256              8.80
512              10.29
1024              13.60
2048              18.78
4096              33.49
8192              66.83
16384              119.59
32768              239.15
65536              542.54
131072              898.72
262144              1942.50
524288              5551.76
1048576              9334.25

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1              7.68
2              7.47
4              7.35
8              7.70
16              6.75
32              7.01
64              7.41
128              7.83
256              9.00
512              10.47
1024              13.66
2048              19.63
4096              33.01
8192              66.16
16384              120.74
32768              252.34
65536              534.87
131072              1032.52
262144              2366.86
524288              5932.97
1048576              9946.61

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1              7.56
2              7.26
4              7.23
8              7.38
16              6.60
32              6.73
64              6.97
128              7.87
256              8.44
512              10.27
1024              15.19
2048              21.43
4096              33.40
8192              67.12
16384              118.71
32768              220.37
65536              461.13
131072              860.04
262144              2071.49
524288              5903.73
1048576             10120.88

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1              7.55
2              7.35
4              7.27
8              7.25
16              6.51
32              6.78
64              7.15
128              7.49
256              8.60
512              10.33
1024              14.38
2048              20.34
4096              33.16
8192              72.33
16384              131.04
32768              245.66
65536              550.03
131072              1076.61
262144              2222.43
524288              5514.60
1048576              9615.25

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1              7.34
2              7.61
4              8.03
8              7.96
16              7.39
32              7.59
64              7.72
128              8.29
256              9.26
512              10.91
1024              14.49
2048              20.35
4096              34.34
8192              73.36
16384              131.35
32768              261.56
65536              568.59
131072              1024.76
262144              2166.81
524288              5491.10
1048576              9203.94

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1              7.39
2              7.28
4              7.16
8              7.28
16              6.63
32              6.71
64              7.14
128              7.65
256              8.59
512              10.76
1024              14.44
2048              20.69
4096              33.77
8192              67.06
16384              122.82
32768              223.35
65536              523.97
131072              1022.25
262144              2364.42
524288              5746.44
1048576             10124.13

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1              7.77
2              7.63
4              7.47
8              7.87
16              7.02
32              6.95
64              7.34
128              8.00
256              8.88
512              10.44
1024              13.83
2048              21.14
4096              33.42
8192              68.40
16384              116.93
32768              213.31
65536              445.75
131072              845.88
262144              2087.60
524288              5781.78
1048576             10025.51

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1              7.71
2              7.66
4              7.34
8              7.49
16              6.51
32              6.68
64              7.18
128              7.61
256              8.49
512              9.89
1024              13.77
2048              19.58
4096              33.23
8192              65.68
16384              119.01
32768              222.49
65536              515.02
131072              1005.34
262144              2285.82
524288              6246.77
1048576             10835.39

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1              7.66
2              7.64
4              7.61
8              7.61
16              6.87
32              6.95
64              7.38
128              7.95
256              8.88
512              10.80
1024              14.09
2048              20.16
4096              33.95
8192              65.54
16384              118.37
32768              221.07
65536              498.00
131072              993.04
262144              2197.85
524288              6350.86
1048576             10762.38

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1              7.72
2              7.66
4              7.69
8              7.32
16              6.58
32              6.75
64              7.22
128              7.52
256              8.69
512              9.87
1024              12.97
2048              21.13
4096              34.07
8192              68.14
16384              125.45
32768              254.85
65536              531.55
131072              999.60
262144              2139.80
524288              5888.80
1048576             10037.45

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1              7.36
2              7.13
4              7.16
8              7.28
16              6.70
32              6.77
64              7.01
128              7.56
256              8.68
512              9.96
1024              13.89
2048              18.54
4096              31.02
8192              66.64
16384              118.64
32768              222.95
65536              449.28
131072              861.09
262144              1982.33
524288              5780.82
1048576             10318.38

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1              7.70
2              7.10
4              7.68
8              7.34
16              6.60
32              6.66
64              7.24
128              7.52
256              8.56
512              10.06
1024              13.20
2048              18.58
4096              33.07
8192              67.31
16384              117.22
32768              218.13
65536              468.10
131072              913.01
262144              2207.57
524288              6049.01
1048576             10323.25

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1              7.47
2              7.29
4              7.38
8              7.49
16              6.50
32              6.76
64              7.12
128              7.66
256              8.39
512              9.83
1024              14.61
2048              21.13
4096              34.14
8192              68.67
16384              129.44
32768              255.72
65536              533.83
131072              1008.85
262144              2210.15
524288              5529.43
1048576              9409.29

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1              7.72
2              7.29
4              7.44
8              7.23
16              6.51
32              6.86
64              7.03
128              7.85
256              8.42
512              9.96
1024              13.09
2048              18.05
4096              35.26
8192              69.00
16384              124.80
32768              221.02
65536              446.02
131072              858.32
262144              1979.49
524288              6039.14
1048576             10649.46

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1              7.73
2              7.62
4              7.48
8              7.52
16              6.89
32              6.95
64              7.47
128              8.03
256              8.92
512              10.25
1024              13.84
2048              19.35
4096              34.28
8192              67.22
16384              120.56
32768              225.59
65536              541.78
131072              992.39
262144              2083.85
524288              5696.70
1048576              9681.43

		****** Secure MPI with BoringSSL  128  GCM-SIV ********

