
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.79
2                       4.48
4                       4.42
8                       4.46
16                      4.59
32                      4.66
64                      4.82
128                     5.26
256                     5.87
512                     7.40
1024                   11.01
2048                   18.25
4096                   35.54
8192                   58.05
16384                 111.48
32768                 238.36
65536                 462.14
131072                990.24
262144               2861.60
524288               6483.03
1048576             12135.07

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.53
2                       4.36
4                       4.08
8                       4.04
16                      4.13
32                      4.25
64                      4.39
128                     4.74
256                     5.25
512                     6.52
1024                    9.66
2048                   14.91
4096                   28.08
8192                   52.90
16384                  98.91
32768                 278.31
65536                 529.81
131072               1184.56
262144               4011.01
524288               7460.98
1048576             13594.98

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.29
2                       4.10
4                       3.97
8                       3.98
16                      4.11
32                      4.36
64                      4.50
128                     4.87
256                     5.27
512                     6.72
1024                    9.85
2048                   15.43
4096                   29.18
8192                   54.56
16384                 103.39
32768                 243.63
65536                 459.37
131072               1004.02
262144               2868.09
524288               5875.11
1048576             12054.49

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.26
2                       4.18
4                       4.12
8                       4.14
16                      4.22
32                      4.39
64                      4.57
128                     4.92
256                     5.43
512                     6.84
1024                    9.78
2048                   15.20
4096                   29.36
8192                   88.01
16384                 103.66
32768                 274.81
65536                 530.86
131072               1152.66
262144               3199.31
524288               6545.86
1048576             13844.33

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.54
2                       4.34
4                       4.36
8                       4.28
16                      4.26
32                      4.54
64                      4.62
128                     5.03
256                     5.56
512                     6.93
1024                   10.08
2048                   16.07
4096                   30.07
8192                   53.99
16384                 101.38
32768                 203.05
65536                 393.67
131072                814.14
262144               2411.17
524288               4944.52
1048576             10354.86

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.65
2                       4.50
4                       4.31
8                       4.37
16                      4.39
32                      4.47
64                      4.49
128                     4.96
256                     5.46
512                     6.88
1024                   10.28
2048                   16.92
4096                   33.21
8192                   52.16
16384                 104.38
32768                 236.48
65536                 470.61
131072               1034.27
262144               2839.66
524288               5649.60
1048576             12105.50

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      21.15
2                       3.94
4                       3.55
8                       3.59
16                      3.76
32                      4.04
64                      4.21
128                     4.66
256                     5.24
512                     6.67
1024                   10.06
2048                   16.12
4096                   29.62
8192                   53.32
16384                 101.62
32768                 237.17
65536                 453.37
131072                963.98
262144               2838.06
524288               5683.01
1048576             12094.79

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.50
2                       4.29
4                       4.14
8                       4.11
16                      4.23
32                      4.41
64                      4.55
128                     4.89
256                     5.28
512                     6.57
1024                    9.94
2048                   15.51
4096                   29.93
8192                   55.90
16384                 107.50
32768                 230.25
65536                 453.73
131072                970.98
262144               2792.90
524288               5627.78
1048576             11881.40

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.54
2                       4.42
4                       4.33
8                       4.36
16                      4.44
32                      4.66
64                      4.74
128                     5.26
256                     5.88
512                     7.39
1024                   11.15
2048                   19.29
4096                   39.67
8192                   63.20
16384                 116.78
32768                 311.97
65536                 604.62
131072               1300.88
262144               4058.98
524288               7685.97
1048576             15914.76

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.11
2                       4.01
4                       3.89
8                       3.97
16                      4.17
32                      4.25
64                      4.43
128                     4.83
256                     5.43
512                     6.73
1024                    9.72
2048                   15.78
4096                   29.60
8192                   54.75
16384                 109.16
32768                 373.62
65536                 702.16
131072               1523.55
262144               4031.23
524288               8201.70
1048576             18195.01

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.02
2                       3.91
4                       3.82
8                       3.92
16                      3.94
32                      4.08
64                      4.22
128                     4.63
256                     5.25
512                     6.61
1024                   10.21
2048                   16.35
4096                   32.07
8192                   50.45
16384                 104.19
32768                 319.29
65536                 591.40
131072               1294.25
262144               3564.66
524288               7272.88
1048576             15789.32

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.32
2                       4.24
4                       4.54
8                       4.24
16                      4.38
32                      4.53
64                      4.75
128                     5.21
256                     7.30
512                     7.10
1024                   10.38
2048                   27.11
4096                   47.48
8192                   51.76
16384                 100.98
32768                 235.30
65536                 468.19
131072               1002.22
262144               2797.66
524288               5725.84
1048576             12120.77

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.99
2                       4.81
4                       4.72
8                       4.69
16                      4.77
32                      4.84
64                      4.99
128                     5.47
256                     6.02
512                     7.56
1024                   11.20
2048                   18.48
4096                   35.89
8192                   57.02
16384                 113.41
32768                 276.29
65536                 533.43
131072               1149.82
262144               3581.19
524288               7100.19
1048576             13937.83

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.23
2                       4.10
4                       4.06
8                       4.05
16                      4.17
32                      4.27
64                      4.45
128                     4.88
256                     5.31
512                     6.43
1024                    9.15
2048                   14.03
4096                   25.55
8192                   51.96
16384                 100.54
32768                 277.12
65536                 543.37
131072               1182.79
262144               3264.77
524288               6533.99
1048576             13930.96

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       4.34
2                       4.22
4                       4.14
8                       4.31
